date,time,price_x,price_y,gap_x,gap_y,price_rt,gap_rt
20210409,900,27780,84500,20,-200,3.04,-10.0
20210409,901,27800,84600,40,-100,3.04,-2.5
20210409,902,27795,84500,35,-200,3.04,-5.71
20210409,903,27780,84600,20,-100,3.05,-5.0
20210409,904,27830,84600,70,-100,3.04,-1.43
20210409,905,27895,84800,135,100,3.04,0.74
20210409,906,27935,84800,175,100,3.04,0.57
20210409,907,27955,84700,195,0,3.03,0.0
20210409,908,27940,84800,180,100,3.04,0.56
20210409,909,27905,84800,145,100,3.04,0.69
20210409,910,27895,84600,135,-100,3.03,-0.74
20210409,911,27885,84600,125,-100,3.03,-0.8
20210409,912,27845,84500,85,-200,3.03,-2.35
20210409,913,27795,84500,35,-200,3.04,-5.71
20210409,914,27805,84500,45,-200,3.04,-4.44
20210409,915,27770,84400,10,-300,3.04,-30.0
20210409,916,27740,84200,-20,-500,3.04,25.0
20210409,917,27725,84200,-35,-500,3.04,14.29
20210409,918,27730,84200,-30,-500,3.04,16.67
20210409,919,27740,84100,-20,-600,3.03,30.0
20210409,920,27665,84200,-95,-500,3.04,5.26
20210409,921,27675,84200,-85,-500,3.04,5.88
20210409,922,27675,84200,-85,-500,3.04,5.88
20210409,923,27715,84200,-45,-500,3.04,11.11
20210409,924,27720,84300,-40,-400,3.04,10.0
20210409,925,27700,84300,-60,-400,3.04,6.67
20210409,926,27730,84300,-30,-400,3.04,13.33
20210409,927,27750,84200,-10,-500,3.03,50.0
20210409,928,27755,84300,-5,-400,3.04,80.0
20210409,929,27755,84300,-5,-400,3.04,80.0
20210409,930,27775,84300,15,-400,3.04,-26.67
20210409,931,27790,84300,30,-400,3.03,-13.33
20210409,932,27745,84300,-15,-400,3.04,26.67
20210409,933,27750,84300,-10,-400,3.04,40.0
20210409,934,27760,84200,0,-500,3.03,-inf
20210409,935,27740,84300,-20,-400,3.04,20.0
20210409,936,27705,84200,-55,-500,3.04,9.09
20210409,937,27730,84200,-30,-500,3.04,16.67
20210409,938,27770,84200,10,-500,3.03,-50.0
20210409,939,27745,84300,-15,-400,3.04,26.67
20210409,940,27740,84200,-20,-500,3.04,25.0
20210409,941,27740,84200,-20,-500,3.04,25.0
20210409,942,27730,84200,-30,-500,3.04,16.67
20210409,943,27720,84200,-40,-500,3.04,12.5
20210409,944,27740,84200,-20,-500,3.04,25.0
20210409,945,27710,84200,-50,-500,3.04,10.0
20210409,946,27695,84200,-65,-500,3.04,7.69
20210409,947,27675,84100,-85,-600,3.04,7.06
20210409,948,27655,84200,-105,-500,3.04,4.76
20210409,949,27660,84100,-100,-600,3.04,6.0
20210409,950,27615,84100,-145,-600,3.05,4.14
20210409,951,27600,84100,-160,-600,3.05,3.75
20210409,952,27610,84000,-150,-700,3.04,4.67
20210409,953,27640,84100,-120,-600,3.04,5.0
20210409,954,27645,84100,-115,-600,3.04,5.22
20210409,955,27620,84100,-140,-600,3.04,4.29
20210409,956,27625,84100,-135,-600,3.04,4.44
20210409,957,27665,84000,-95,-700,3.04,7.37
20210409,958,27680,84100,-80,-600,3.04,7.5
20210409,959,27675,84100,-85,-600,3.04,7.06
20210409,1000,27665,84100,-95,-600,3.04,6.32
20210409,1001,27655,84100,-105,-600,3.04,5.71
20210409,1002,27600,84100,-160,-600,3.05,3.75
20210409,1003,27590,84100,-170,-600,3.05,3.53
20210409,1004,27605,84000,-155,-700,3.04,4.52
20210409,1005,27625,84100,-135,-600,3.04,4.44
20210409,1006,27630,84000,-130,-700,3.04,5.38
20210409,1007,27665,84100,-95,-600,3.04,6.32
20210409,1008,27670,84000,-90,-700,3.04,7.78
20210409,1009,27680,84100,-80,-600,3.04,7.5
20210409,1010,27680,84100,-80,-600,3.04,7.5
20210409,1011,27695,84100,-65,-600,3.04,9.23
20210409,1012,27675,84100,-85,-600,3.04,7.06
20210409,1013,27645,84100,-115,-600,3.04,5.22
20210409,1014,27670,84100,-90,-600,3.04,6.67
20210409,1015,27670,84100,-90,-600,3.04,6.67
20210409,1016,27630,84000,-130,-700,3.04,5.38
20210409,1017,27615,84000,-145,-700,3.04,4.83
20210409,1018,27610,83900,-150,-800,3.04,5.33
20210409,1019,27590,83800,-170,-900,3.04,5.29
20210409,1020,27580,83800,-180,-900,3.04,5.0
20210409,1021,27590,83800,-170,-900,3.04,5.29
20210409,1022,27595,83800,-165,-900,3.04,5.45
20210409,1023,27575,83900,-185,-800,3.04,4.32
20210409,1024,27585,83800,-175,-900,3.04,5.14
20210409,1025,27560,83700,-200,-1000,3.04,5.0
20210409,1026,27560,83800,-200,-900,3.04,4.5
20210409,1027,27590,83800,-170,-900,3.04,5.29
20210409,1028,27625,83800,-135,-900,3.03,6.67
20210409,1029,27625,83900,-135,-800,3.04,5.93
20210409,1030,27630,83800,-130,-900,3.03,6.92
20210409,1031,27620,83900,-140,-800,3.04,5.71
20210409,1032,27610,83700,-150,-1000,3.03,6.67
20210409,1033,27605,83800,-155,-900,3.04,5.81
20210409,1034,27620,83900,-140,-800,3.04,5.71
20210409,1035,27565,83800,-195,-900,3.04,4.62
20210409,1036,27545,83800,-215,-900,3.04,4.19
20210409,1037,27570,83800,-190,-900,3.04,4.74
20210409,1038,27590,83800,-170,-900,3.04,5.29
20210409,1039,27580,83700,-180,-1000,3.03,5.56
20210409,1040,27605,83800,-155,-900,3.04,5.81
20210409,1041,27620,83800,-140,-900,3.03,6.43
20210409,1042,27600,83900,-160,-800,3.04,5.0
20210409,1043,27595,83900,-165,-800,3.04,4.85
20210409,1044,27585,83800,-175,-900,3.04,5.14
20210409,1045,27570,83800,-190,-900,3.04,4.74
20210409,1046,27605,83800,-155,-900,3.04,5.81
20210409,1047,27590,83800,-170,-900,3.04,5.29
20210409,1048,27595,83800,-165,-900,3.04,5.45
20210409,1049,27580,83800,-180,-900,3.04,5.0
20210409,1050,27565,83800,-195,-900,3.04,4.62
20210409,1051,27565,83800,-195,-900,3.04,4.62
20210409,1052,27580,83800,-180,-900,3.04,5.0
20210409,1053,27595,83800,-165,-900,3.04,5.45
20210409,1054,27585,83700,-175,-1000,3.03,5.71
20210409,1055,27595,83700,-165,-1000,3.03,6.06
20210409,1056,27605,83700,-155,-1000,3.03,6.45
20210409,1057,27620,83800,-140,-900,3.03,6.43
20210409,1058,27625,83800,-135,-900,3.03,6.67
20210409,1059,27630,83800,-130,-900,3.03,6.92
20210409,1100,27605,83800,-155,-900,3.04,5.81
20210409,1101,27620,83800,-140,-900,3.03,6.43
20210409,1102,27630,83900,-130,-800,3.04,6.15
20210409,1103,27635,83900,-125,-800,3.04,6.4
