JONGMOK_CODE,JONGMOK_NAME,LINK,REPORT
040910,아이씨디,https://finance.naver.com/research/company_read.nhn?nid=56307&page=1,"목표주가 22,000 유지, 바닥에 근접하고 있는 업황 및 주가12개월 선행 EPS에 Target P/E 10배 적용 유지21년 EPS는 기존 대비 –18% 하향 조정4Q20~1Q21 글로벌 고객사 투자 시기 소폭 지연되며(Visionox V2, V3 및 삼성디스플레이), 매출 인식 시점 21년으로 지연될 전망"
108320,실리콘웍스,https://finance.naver.com/research/company_read.nhn?nid=56306&page=1,"목표주가 93,000원으로 상향 조정21년 예상 EPS +16% 상향 조정, Target P/E 15.0배로 상향(기존 12.5배)EPS 상향 조정의 근거는1) 중대형/소형 D-IC Shortage에 따른 판가 상승2) OLED 믹스 개선에 따른 수익성 개선 지속3) 비수기임에도 지속되는 LCD 업황 호조 때문"
272290,이녹스첨단소재,https://finance.naver.com/research/company_read.nhn?nid=56305&page=1,"목표주가 70,000원 유지, 1Q21 영업이익 추정치 +9.5% 상향 조정12개월 선행 EPS에 Target P/E 15배 적용 유지1분기 기준 최대 매출액 및 영업이익 기록할 것으로 전망WOLED용 봉지 소재 및 중소형 OLED 용 Film 소재의 상반기 통상적인 낮은 계절성 둔화되며 OLED 소재 사업부로의 믹스 개선 본격화"
139130,DGB금융지주,https://finance.naver.com/research/company_read.nhn?nid=56304&page=1,"대출 성장+ 마진 회복으로 2021년 양호한 이익 성장 예상2021년 동사는 두 자리 수 이상의 양호한 이익 성장이 기대된다. 성장 배경은 높은 대출 성장 덕이다. 대구 지역의 높은 부동산 가격 상승률로 건당 대출 규모가 늘어난데다 풍선 효과 영향으로 대출 수요도 지속적으로 늘어나고 있기 때문이다. 반면 정부 규제로 대출 금리가 가파르게 상승, 순이자마진이 상승 반전할 것이기 때문이다."
105560,KB금융,https://finance.naver.com/research/company_read.nhn?nid=56303&page=1,"1분기 추정 순익 1.1조원. 실적도 업종 대표주의 위용 보일 듯투자의견 매수를 유지하고, 목표주가를 63,500원으로 5.8% 상향. 목표가 상향은 이익추정치 상향에 기인. 1분기 추정 순익은 1조 1,020억원으로 전년동기대비 51.1% 증가해 우리예상치를 상회할 전망. 매년 1분기에 발생하는 사내복지기금 출연금 약 700억원을 감안시 경상적으로는 1.15조원에 육박하는 실적이었을 것으로 추정."
061970,엘비세미콘,https://finance.naver.com/research/company_read.nhn?nid=56302&page=1,"4Q20 호실적 발표 계기로 지난 1개월 동안 주가는 상대적 선방엘비세미콘은 반도체 후공정 기업이다. 주요 고객사는 실리콘웍스, 삼성전자이며, 매출에 가장 크게 영향을 끼치는 사업은 별도 매출의 80% 이상을 차지하는 DDI(Display Driver IC)이다. 지난 1개월 동안의 주가 수익률은 +2.2%로 코스닥 지수 수익률(-1.3%) 및 KRX 반도체 지수 수익률(-1.3%) 대비 선방했다. 3월 2일에 잠정치로 발표된 4Q20 영업이익이 159억 원으로 컨센서스를 상회했기 때문이다. DDI의 매출 호조와 금의 원가 하락이 4Q20 실적에 기여했다"
011070,LG이노텍,https://finance.naver.com/research/company_read.nhn?nid=56301&page=1,"1Q20 Preview: 컨센 대폭 상회LG이노텍의 1Q20 예상 실적은 매출액 3.4조원(yoy +68.0%, qoq -12.3%), 영업이익은 3,215억원(yoy +133.2%, qoq -4.4%/OPM 9.5%)으로 컨센서스(매출액 2.7조원/영업이익 2,298억원)을 각각+26%, 40% 대폭 상회할 것으로 전망된다. 우려대비 양호한 환율환경이 이어지는 가운데, 올해 하반기 legacy모델 생산스케줄이 상반기로 앞당겨지며 pull-in 효과가 예상되기 때문이다."
298040,효성중공업,https://finance.naver.com/research/company_read.nhn?nid=56300&page=1,"2021년 실적은 발주 재개 및 기저효과로 개선 전망 효성중공업의 2021년 실적은 저가수주를 지양하며 수익성 위주 경영을 고수할 것으로 보인다. 외형은 3.2조원(+5.8% yoy)으로 미드싱글 이상의 성장이 가능할 것으로 기대된다. 이는 중공업부문에서 코로나로 지연되었던 해외발주 재개, 한전의 전기료 가격연동제 도입에 따른 수익구조 개선시 노후설비에 대한 발주 개선이 기대"
029780,삼성카드,https://finance.naver.com/research/company_read.nhn?nid=56299&page=1,"목표주가 기존 34,000원에서 40,000원으로 상향, 투자의견 Trading Buy 유지21~22년 순이익 예상치 각각 4.3%, 3.4% 상향 조정4Q20에 보수적으로 추가 충당금 1천억원 적립, 코로나19에도 불구하고 20년 순이익 +15.9% YoY, 21년에도 증익(+6.6% YoY) 전망밸류에이션 기준년도 기존 20년에서 21년으로 변경, TP 40,000원(목표 P/B 0.62배)20년 배당성향 48%, 2021~22년 배당성향 각각 49%, 50%로 상승 전망"
035900,JYP Ent.,https://finance.naver.com/research/company_read.nhn?nid=56298&page=1,"연결 매출액 417억원(YoY -6.0%), 영업이익 105억원(-22.1%), 예상 범위에 부합공연 공백으로 외형 감소가 불가피했으나 음반/디지털콘텐츠 매출 호조로 이를 대체매출액 mix 변화 따라 인세 -6%, 제작비 -12% 감소, GPM 개선 (54.2%, +4.4%p)1) 음반/음원(+47.1%): 트와이스 48만, 스키즈 20만, GOT7 34만 등 총 104만장 판매2) 매니지먼트(-53.6%): 공연(-100%), 광고(-40%) 등 코로나 영향 극심"
