date,time,price_x,price_y,gap_x,gap_y,price_rt,gap_rt
20210402,900,27360,84200,490,1300,0.32,0.38
20210402,901,27445,84400,575,1500,0.33,0.38
20210402,902,27385,84400,515,1500,0.32,0.34
20210402,903,27415,84200,545,1300,0.33,0.42
20210402,904,27400,84200,530,1300,0.33,0.41
20210402,905,27415,84300,545,1400,0.33,0.39
20210402,906,27480,84800,610,1900,0.32,0.32
20210402,907,27515,84900,645,2000,0.32,0.32
20210402,908,27560,85000,690,2100,0.32,0.33
20210402,909,27590,85200,720,2300,0.32,0.31
20210402,910,27570,84900,700,2000,0.32,0.35
20210402,911,27580,84900,710,2000,0.32,0.36
20210402,912,27570,84900,700,2000,0.32,0.35
20210402,913,27540,84800,670,1900,0.32,0.35
20210402,914,27545,84700,675,1800,0.33,0.38
20210402,915,27535,84700,665,1800,0.33,0.37
20210402,916,27525,84700,655,1800,0.32,0.36
20210402,917,27545,84800,675,1900,0.32,0.36
20210402,918,27575,84700,705,1800,0.33,0.39
20210402,919,27590,84900,720,2000,0.32,0.36
20210402,920,27640,85000,770,2100,0.33,0.37
20210402,921,27620,84900,750,2000,0.33,0.38
20210402,922,27610,84900,740,2000,0.33,0.37
20210402,923,27605,85000,735,2100,0.32,0.35
20210402,924,27570,84800,700,1900,0.33,0.37
20210402,925,27615,85000,745,2100,0.32,0.35
20210402,926,27615,85000,745,2100,0.32,0.35
20210402,927,27605,85000,735,2100,0.32,0.35
20210402,928,27615,85000,745,2100,0.32,0.35
20210402,929,27610,84900,740,2000,0.33,0.37
20210402,930,27605,85000,735,2100,0.32,0.35
20210402,931,27560,84800,690,1900,0.32,0.36
20210402,932,27575,84900,705,2000,0.32,0.35
20210402,933,27540,84900,670,2000,0.32,0.34
20210402,934,27540,84900,670,2000,0.32,0.34
20210402,935,27565,84800,695,1900,0.33,0.37
20210402,936,27545,84800,675,1900,0.32,0.36
20210402,937,27535,84800,665,1900,0.32,0.35
20210402,938,27540,84700,670,1800,0.33,0.37
20210402,939,27515,84700,645,1800,0.32,0.36
20210402,940,27510,84700,640,1800,0.32,0.36
20210402,941,27520,84700,650,1800,0.32,0.36
20210402,942,27515,84700,645,1800,0.32,0.36
20210402,943,27510,84700,640,1800,0.32,0.36
20210402,944,27495,84600,625,1700,0.32,0.37
20210402,945,27510,84600,640,1700,0.33,0.38
20210402,946,27525,84700,655,1800,0.32,0.36
20210402,947,27540,84700,670,1800,0.33,0.37
20210402,948,27550,84700,680,1800,0.33,0.38
20210402,949,27550,84700,680,1800,0.33,0.38
20210402,950,27545,84600,675,1700,0.33,0.4
20210402,951,27585,84700,715,1800,0.33,0.4
20210402,952,27560,84700,690,1800,0.33,0.38
20210402,953,27530,84800,660,1900,0.32,0.35
20210402,954,27515,84600,645,1700,0.33,0.38
20210402,955,27540,84700,670,1800,0.33,0.37
20210402,956,27525,84700,655,1800,0.32,0.36
20210402,957,27520,84700,650,1800,0.32,0.36
20210402,958,27515,84700,645,1800,0.32,0.36
20210402,959,27510,84700,640,1800,0.32,0.36
20210402,1000,27520,84800,650,1900,0.32,0.34
20210402,1001,27525,84700,655,1800,0.32,0.36
20210402,1002,27550,84800,680,1900,0.32,0.36
20210402,1003,27550,84800,680,1900,0.32,0.36
20210402,1004,27540,84800,670,1900,0.32,0.35
20210402,1005,27520,84700,650,1800,0.32,0.36
20210402,1006,27550,84700,680,1800,0.33,0.38
20210402,1007,27585,84800,715,1900,0.33,0.38
20210402,1008,27585,84900,715,2000,0.32,0.36
20210402,1009,27585,84900,715,2000,0.32,0.36
20210402,1010,27600,84900,730,2000,0.33,0.36
20210402,1011,27580,84900,710,2000,0.32,0.36
