,0,1,2,3
0,BUY,27705,36,0
1,SELL,28040,36,12060
2,BUY,28040,35,0
3,END,28040,35,12060
4,BUY,28000,36,0
5,END,28000,36,0
6,BUY,28030,36,0
7,END,28030,36,0
8,BUY,28060,36,0
9,END,28060,36,0
10,BUY,28085,36,0
11,END,28085,36,0
12,BUY,28115,35,0
13,SELL,28455,35,11900
14,BUY,28465,35,0
15,END,28465,35,11900
16,BUY,28430,36,0
17,END,28430,36,0
18,BUY,28460,35,0
19,SELL,28805,35,12075
20,BUY,28795,35,0
21,END,28795,35,12075
22,BUY,28820,35,0
23,SELL,29170,35,12250
24,BUY,29180,35,0
25,END,29180,35,12250
26,BUY,29205,35,0
27,END,29205,35,0
28,BUY,29230,35,0
29,SELL,29585,35,12425
30,BUY,29590,35,0
31,END,29590,35,12425
32,BUY,29555,35,0
33,SELL,29910,35,12425
34,BUY,29920,35,0
35,SELL,30280,35,25025
36,BUY,30275,35,0
37,SELL,30640,35,37800
38,BUY,30630,34,0
39,END,30630,34,37800
40,BUY,30655,35,0
41,END,30655,35,0
42,BUY,30620,35,0
43,SELL,30995,35,13125
44,BUY,30990,35,0
45,END,30990,35,13125
46,BUY,31015,35,0
47,END,31015,35,0
48,BUY,30980,35,0
49,END,30980,35,0
50,BUY,31005,35,0
51,SELL,31380,35,13125
52,BUY,31390,35,0
53,END,31390,35,13125
54,BUY,31415,35,0
55,END,31415,35,0
56,BUY,31380,35,0
57,SELL,31765,35,13475
58,BUY,31765,35,0
59,SELL,32155,35,27125
60,BUY,32160,34,0
61,SELL,32555,34,40555
62,BUY,32560,34,0
63,END,32560,34,40555
64,BUY,32525,35,0
65,END,32525,35,0
66,BUY,32490,35,0
67,END,32490,35,0
68,BUY,32450,35,0
69,END,32450,35,0
70,BUY,32475,35,0
71,SELL,32865,35,13650
72,BUY,32875,35,0
73,SELL,33275,35,27650
74,BUY,33280,35,0
75,END,33280,35,27650
76,BUY,33245,35,0
77,SELL,33650,35,14175
78,BUY,33655,35,0
79,END,33655,35,14175
80,BUY,33685,35,0
81,END,33685,35,0
82,BUY,33715,35,0
83,SELL,34120,35,14175
84,BUY,34120,35,0
85,END,34120,35,14175
86,BUY,34085,35,0
87,SELL,34500,35,14525
88,BUY,34500,35,0
89,END,34500,35,14525
90,BUY,34525,35,0
