GBCD,JONGMOK_NM,TIMES,CPRICE,DIFF,CVOL,VOL
A122630,KODEX 레버리지,854,48,0,20780,0
A005930,삼성전자,854,51,0,74700,406
A000660,SK하이닉스,854,48,0,126000,0
A035420,NAVER,854,48,0,326000,0
A006400,삼성SDI,854,48,0,566000,0
A051910,LG화학,854,51,0,610000,12
A035720,카카오,854,51,0,86100,1
A005380,현대차,854,51,0,185000,9
A373220,LG에너지솔루션,854,51,0,511000,1616
A001440,대한전선,854,48,0,1570,0
A316140,우리금융지주,854,51,0,15850,10
A055550,신한지주,854,51,0,40600,4844
A105560,KB금융,854,51,0,63800,68
A034020,두산중공업,854,51,0,17800,760
A017670,SK텔레콤,854,51,0,56200,35
A068270,셀트리온,854,51,0,160500,6
A012330,현대모비스,854,48,0,232000,0
A066570,LG전자,854,48,0,129000,0
A036570,엔씨소프트,854,48,0,540000,0
