날짜,종가,전일비,시가,고가,저가,거래량,NM
2022.03.22,32700,800,31900,33100,31900,78593,더네이쳐홀딩스
2022.03.21,31900,500,32700,32850,31400,98616,더네이쳐홀딩스
2022.03.18,32400,550,31850,32450,31250,94053,더네이쳐홀딩스
2022.03.17,31850,850,33000,33150,31500,167517,더네이쳐홀딩스
2022.03.16,32700,750,32000,32950,31500,76433,더네이쳐홀딩스
2022.03.15,31950,450,32100,32650,31150,79235,더네이쳐홀딩스
2022.03.14,32400,1350,33750,33900,31800,156632,더네이쳐홀딩스
2022.03.11,33750,150,33900,34500,33550,62697,더네이쳐홀딩스
2022.03.10,33900,50,34200,35300,33850,59733,더네이쳐홀딩스
2022.03.08,33850,350,33450,34850,33350,80954,더네이쳐홀딩스
