CD,NM,ROE,PER,PBR,PROFIT,INCOME
A282330,BGF리테일,"[26.46, 18.6, 19.61]","[19.35, 19.09, 17.03]","[4.7, 3.36, 3.11]","[1966, 1622, 1994]","[1514, 1227, 1476]"
A000995,DB하이텍1우,"[17.12, 17.39, 23.07, 31.18]","[5.56, 11.74, 13.67, 10.61]","[0.84, 1.86, 2.79, 2.81]","[1130, 1813, 2393, 3810]","[868, 1046, 1660, 2908]"
A000990,DB하이텍,"[17.12, 17.39, 23.07, 31.18]","[5.56, 11.74, 13.67, 10.61]","[0.84, 1.86, 2.79, 2.81]","[1130, 1813, 2393, 3810]","[868, 1046, 1660, 2908]"
A000215,DL우,"[12.37, 11.74, 11.84, 30.08]","[6.12, 5.25, 6.34, 1.39]","[0.73, 0.59, 1.24, 0.4]","[8454, 1360, 1190, 2476]","[6781, 7103, 5727, 9232]"
A001880,DL건설,"[23.04, 23.71, 19.95]","[3.17, 3.94, 3.6]","[0.66, 0.89, 0.66]","[1430, 2034, 2296]","[951, 1493, 1756]"
A000210,DL,"[12.37, 11.74, 11.84, 30.08]","[6.12, 5.25, 6.34, 1.39]","[0.73, 0.59, 1.24, 0.4]","[8454, 1360, 1190, 2476]","[6781, 7103, 5727, 9232]"
A078935,GS우,"[11.14, 6.26, -2.81, 16.76]","[5.41, 8.98, -14.65, 2.5]","[0.58, 0.55, 0.43, 0.39]","[22098, 20331, 9206, 24638]","[10305, 6689, -1878, 14991]"
A078930,GS,"[11.14, 6.26, -2.81, 16.76]","[5.41, 8.98, -14.65, 2.5]","[0.58, 0.55, 0.43, 0.39]","[22098, 20331, 9206, 24638]","[10305, 6689, -1878, 14991]"
A016385,KG동부제철우,"[-7.44, 7.18, 17.99]","[-8.37, 17.37, 5.55]","[0.88, 1.19, 0.92]","[346, 1108, 2969]","[-335, 669, 1907]"
A016380,KG동부제철,"[-7.44, 7.18, 17.99]","[-8.37, 17.37, 5.55]","[0.88, 1.19, 0.92]","[346, 1108, 2969]","[-335, 669, 1907]"
A001120,LG상사,"[-6.06, 2.48, 23.71, 24.48]","[-8.46, 20.41, 3.22, 2.61]","[0.53, 0.5, 0.66, 0.52]","[1657, 1348, 1598, 6509]","[-360, -149, 3616, 5374]"
A051905,LG생활건강우,"[20.32, 17.92, 16.65]","[28.71, 35.99, 23.01]","[5.1, 5.71, 3.41]","[11764, 12209, 12896]","[7882, 8131, 8611]"
A051900,LG생활건강,"[20.32, 17.92, 16.65]","[28.71, 35.99, 23.01]","[5.1, 5.71, 3.41]","[11764, 12209, 12896]","[7882, 8131, 8611]"
A011070,LG이노텍,"[4.73, 10.2, 30.94]","[32.39, 18.29, 9.7]","[1.5, 1.78, 2.6]","[4764, 6810, 12642]","[1023, 2361, 8883]"
A051915,LG화학우,"[1.84, 2.93, 18.47]","[79.31, 125.83, 13.12]","[1.43, 3.55, 2.21]","[8254, 18054, 50255]","[3761, 6824, 39539]"
A051910,LG화학,"[1.84, 2.93, 18.47]","[79.31, 125.83, 13.12]","[1.43, 3.55, 2.21]","[8254, 18054, 50255]","[3761, 6824, 39539]"
A035420,NAVER,"[10.56, 15.21, 106.72]","[52.72, 47.97, 3.77]","[4.67, 5.85, 2.4]","[11550, 12153, 13255]","[3968, 8450, 164776]"
A008260,NI스틸,"[5.91, 10.45, 16.75]","[9.85, 6.05, 4.38]","[0.57, 0.6, 0.68]","[121, 186, 312]","[64, 121, 221]"
A010060,OCI,"[-26.2, -9.89, 23.93]","[-1.88, -9.01, 3.83]","[0.57, 0.94, 0.81]","[-1806, -861, 6260]","[-8074, -2512, 6521]"
A010955,S-Oil우,"[1.01, -13.07, 21.76]","[169.84, -10.14, 7.25]","[1.71, 1.42, 1.43]","[4201, -10991, 21409]","[654, -7961, 13785]"
A010950,S-Oil,"[1.01, -13.07, 21.76]","[169.84, -10.14, 7.25]","[1.71, 1.42, 1.43]","[4201, -10991, 21409]","[654, -7961, 13785]"
A950110,SBI핀테크솔루션즈,"[30.05, 22.11, 17.22]","[33.78, 18.41, 28.14]","[7.95, 3.45, 4.64]","[141, 121, 151]","[94, 93, 79]"
A009160,SIMPAC,"[20.48, 2.17, 7.54, 16.17]","[1.67, 20.31, 4.73, 5.35]","[0.34, 0.4, 0.31, 0.68]","[102, 111, 78, 890]","[692, 95, 341, 814]"
