CD,NM,ROE,PER,PBR,PROFIT,INCOME
A005880,대한해운,"[10.94, 11.47, 1.1, 21.58]","[6.95, 6.21, 84.53, 3.4]","[0.7, 0.67, 0.93, 0.63]","[1350, 1288, 1459, 1925]","[783, 1010, 275, 2482]"
A299170,더블유에스아이,"[84.11, 0.0, -8.81, 17.19]","[0.0, 0.0, -59.53, 15.64]","[0.0, 0.0, 4.04, 2.52]","[52, 46, 56, 65]","[40, 35, -16, 47]"
A213420,덕산네오룩스,"[14.28, 12.73, 18.91, 21.59]","[18.12, 32.96, 25.09, 19.86]","[2.42, 3.95, 4.34, 3.87]","[203, 208, 401, 520]","[188, 192, 333, 485]"
A263720,디앤씨미디어,"[0.0, 12.44, 23.23, 26.15]","[34.65, 48.31, 41.57, 26.12]","[4.65, 5.72, 8.63, 6.02]","[64, 79, 131, 166]","[49, 49, 109, 158]"
A290550,디케이티,"[-7.87, 18.32, 17.23, 15.62]","[-46.01, 14.29, 16.81, 19.64]","[3.71, 1.95, 2.7, 2.84]","[87, 129, 145, 170]","[-17, 79, 108, 114]"
A281740,레이크머티리얼즈,"[8.6, 6.49, 5.81, 34.64]","[0.0, 0.0, 91.16, 18.44]","[0.0, 0.0, 4.49, 5.45]","[36, 26, 47, 212]","[22, 18, 20, 170]"
A307180,아이엘사이언스,"[42.77, -37.29, 0.0, 23.78]","[0.0, -13.75, -13.63, 41.98]","[0.0, 3.09, 7.22, 9.34]","[7, 11, -51, 27]","[5, -27, -49, 25]"
A011200,HMM,"[-81.8, -55.46, 8.92, 80.31]","[-1.47, -1.91, 36.32, 1.94]","[1.12, 1.04, 2.7, 1.14]","[-5587, -2997, 9808, 72077]","[-7906, -5898, 1240, 48368]"
A230240,에치에프알,"[0.66, 1.29, -35.73, 22.9]","[292.5, 339.19, -13.71, 18.95]","[1.69, 4.32, 5.48, 3.88]","[29, 22, -259, 211]","[6, 4, -290, 193]"
A074600,원익QnC,"[21.25, 1.23, 11.44, 21.84]","[6.49, 157.36, 21.64, 11.56]","[1.25, 1.93, 2.34, 2.28]","[412, 274, 412, 880]","[412, 36, 155, 595]"
A069080,웹젠,"[17.28, 12.74, 21.83, 17.65]","[14.94, 13.51, 14.17, 9.66]","[2.11, 1.43, 2.44, 1.34]","[689, 518, 1083, 998]","[501, 422, 863, 832]"
A216050,인크로스,"[13.82, 14.48, 17.55, 21.56]","[14.58, 21.74, 35.35, 19.78]","[1.92, 2.81, 5.24, 3.45]","[111, 122, 148, 220]","[86, 93, 123, 180]"
A287410,제이시스메디칼,"[1.0, 0.0, 190.55, 37.7]","[0.0, 0.0, 0.0, 48.23]","[0.0, 0.0, 0.0, 13.09]","[4, 27, 114, 228]","[1, 11, 75, 105]"
A067000,조이시티,"[-25.69, -4.91, 21.79, 20.52]","[-15.64, -74.13, 39.53, 31.91]","[4.49, 3.64, 6.17, 5.94]","[-54, 85, 205, 227]","[-79, -19, 117, 182]"
A092220,KEC,"[0.67, -8.99, -24.43, 17.39]","[79.41, -6.19, -7.56, 12.27]","[0.53, 0.58, 2.11, 2.36]","[33, -70, -23, 256]","[18, -197, -449, 317]"
