DT,CD,NM,FRGN_RT,END_PRC,VOL,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN,VOL_MEDIAN,REMAIN_SELL,REMAIN_BUY
2022-03-24,A098120,마이크로컨텍솔,14.84,11050,60821,10810,53828,10476,61525,10600,56974,35191,25942
2022-03-24,A095570,AJ네트웍스,4.77,6100,318943,5796,177442,5729,107894,5670,57387,28498,3743
2022-03-24,A282330,BGF리테일,30.96,180000,37136,178900,35030,176750,52710,177750,40668,7259,5585
2022-03-24,A000995,DB하이텍1우,1.07,94800,189,94480,169,93820,278,93900,205,115,126
2022-03-24,A000990,DB하이텍,24.05,76600,837589,73700,971398,71520,860168,71650,760318,52831,15432
2022-03-24,A000215,DL우,7.19,37650,553,37570,1038,37320,866,37375,713,932,813
2022-03-24,A001880,DL건설,2.17,29800,23337,29890,27664,29980,42303,29875,37312,4416,1065
2022-03-24,A000210,DL,12.34,59300,56771,59640,43808,59480,40755,59500,37917,5937,11092
2022-03-24,A007700,F&F홀딩스,0.65,26350,24347,26280,61821,26145,44165,26175,31938,4765,11141
2022-03-24,A078935,GS우,9.55,34850,2492,34730,1908,34620,2401,34600,2462,2876,1434
2022-03-24,A078930,GS,19.15,40500,166989,40300,153949,40205,171871,40225,167926,28566,16991
2022-03-24,A016385,KG동부제철우,0.0,107000,113,104800,116,104150,86,104500,68,457,104
2022-03-24,A016380,KG동부제철,1.22,11300,429491,11340,523577,11020,354718,10975,222997,62270,95270
2022-03-24,A051905,LG생활건강우,83.58,515000,1955,512600,6833,504200,6524,508500,6009,308,347
2022-03-24,A051900,LG생활건강,40.91,865000,34606,856200,62377,856600,78305,856000,80738,3679,3442
2022-03-24,A011070,LG이노텍,25.63,406000,287183,400600,453449,376700,433622,376000,438464,16278,10885
2022-03-24,A051915,LG화학우,71.65,267500,24267,256000,25881,251800,24150,251500,23778,1201,1293
2022-03-24,A051910,LG화학,48.32,531000,521473,501900,385669,478950,527480,480250,540425,28522,17718
2022-03-24,A001120,LX인터내셔널,24.61,34300,357321,32850,658316,31665,569980,31025,448788,41893,20908
2022-03-24,A035420,NAVER,54.66,340000,525852,341700,490557,336900,615152,339250,605860,26469,55866
2022-03-24,A008260,NI스틸,4.88,4965,439041,5003,1313659,4845,809209,4865,324945,10696,32663
2022-03-24,A010060,OCI,14.15,115000,669861,111700,296543,110800,321164,110750,267327,137743,60738
2022-03-24,A010955,S-Oil우,14.14,53900,6113,53360,11527,52105,10376,51800,10972,4204,2327
2022-03-24,A010950,S-Oil,78.27,90600,519950,88500,385621,86490,431859,85450,408059,35381,21099
2022-03-24,A950110,SBI핀테크솔루션즈,80.15,6970,12294,7052,8246,7044,9425,7055,10373,2587,5495
2022-03-24,A001770,SHD,1.65,32250,9806,31860,11174,30985,7682,30450,5056,306,226
2022-03-24,A009160,SIMPAC,7.42,8440,469075,8214,336697,8076,455448,8015,496028,35782,3779
2022-03-24,A210980,SK디앤디,5.02,30750,12468,31000,13297,30800,15365,30825,14379,1727,3930
2022-03-24,A002710,TCC스틸,0.94,10650,875154,10480,1114985,10220,1075275,10150,944449,116173,118315
2022-03-24,A013580,계룡건설,23.59,41900,105576,40360,129833,39860,175851,39625,127711,8257,10822
2022-03-24,A049720,고려신용정보,1.22,8670,14369,8688,22816,8740,58974,8710,39903,3940,8089
2022-03-24,A098460,고영,63.48,18950,203325,18390,244231,18085,227917,17950,209626,44285,43882
2022-03-24,A215000,골프존,20.22,149600,30113,147120,33453,144910,38855,144650,36410,1432,523
2022-03-24,A121440,골프존뉴딘홀딩스,1.54,8330,35919,8256,56330,8203,55240,8175,38047,10809,13122
2022-03-24,A007690,국도화학,19.97,59000,48064,57900,34595,57520,35543,57350,32214,8215,5323
2022-03-24,A083450,GST,9.5,31350,50546,31020,76893,30385,107324,30750,96091,10158,5900
2022-03-24,A002995,금호건설우,0.0,31600,725,31740,545,31420,808,31600,704,178,363
2022-03-24,A002990,금호건설,6.14,11550,131178,11560,149907,11470,168610,11475,146049,43806,56414
2022-03-24,A011785,금호석유우,8.57,92200,19225,89480,18339,87240,15708,86400,15758,1567,1940
2022-03-24,A011780,금호석유,20.47,161500,97381,160900,106602,157100,103465,158500,94232,37445,18401
2022-03-24,A190510,나무가,2.24,11500,180214,11540,509631,11085,344891,11275,182397,52125,39342
2022-03-24,A130580,나이스디앤비,45.35,9650,3812,9646,4739,9640,4524,9640,4626,5522,593
2022-03-24,A036800,나이스정보통신,22.4,28900,18281,29120,18806,29510,23075,29575,21453,2594,5434
2022-03-24,A030190,NICE평가정보,38.36,19950,85752,19230,135382,18780,128057,18475,102424,25930,8210
2022-03-24,A042420,네오위즈홀딩스,3.18,53500,117103,52760,144867,52155,214848,52200,154829,4960,7364
2022-03-24,A041140,넥슨지티,1.32,23050,2670510,22960,1978259,22720,2221448,22900,2310176,89007,37864
2022-03-24,A194700,노바렉스,2.22,41750,17664,41390,25656,41600,24142,41600,18488,4873,1020
2022-03-24,A285490,노바텍,0.58,38100,32084,36800,36223,35975,41842,36025,39747,3897,1897
2022-03-24,A270870,뉴트리,3.46,19850,11148,19710,10522,19320,13037,19325,12087,6580,5252
2022-03-24,A119860,다나와,10.86,23200,27512,23130,37870,22660,49466,22900,31581,4106,3782
2022-03-24,A009190,대양금속,1.47,4980,2085374,4924,4933540,4713,3684760,4860,2085342,45421,39862
2022-03-24,A047040,대우건설,10.97,7130,1744725,7084,1870414,7137,3454378,7115,3094788,115730,164678
2022-03-24,A078600,대주전자재료,13.67,93600,85384,92260,132075,88620,165634,90250,146012,5966,3909
2022-03-24,A054670,대한뉴팜,1.63,11450,142380,11480,164015,11225,129716,11175,136144,61720,34602
2022-03-24,A084010,대한제강,9.86,22100,155405,21640,223073,21815,265288,21500,200701,17388,33478
2022-03-24,A005880,대한해운,6.12,2795,1145874,2799,1592283,2871,2562535,2827,2200276,291460,243540
2022-03-24,A298540,더네이쳐홀딩스,14.26,33050,114248,32690,105539,32610,107021,32550,96334,2225,3981
2022-03-24,A192080,더블유게임즈,10.18,51600,35727,51420,33688,51130,38674,51350,36134,7146,7479
2022-03-24,A299170,더블유에스아이,0.02,2480,48427,2532,63619,2507,50642,2500,42798,2757,11131
2022-03-24,A145720,덴티움,17.66,71800,47611,72500,86041,71360,136581,71800,125989,3196,7935
2022-03-24,A001230,동국제강,22.57,17900,1352962,17450,1693482,17130,1133588,17050,625601,74893,216256
2022-03-24,A005965,동부건설우,18.65,29900,4007,29990,3488,30185,5450,30000,4207,678,544
2022-03-24,A005960,동부건설,1.63,14150,61418,14260,61273,14260,95872,14275,66291,21406,27042
2022-03-24,A005290,동진쎄미켐,7.23,39500,1200567,38040,1486143,35320,1109743,35375,978501,126901,15435
2022-03-24,A000155,두산우,14.71,85400,20369,86000,9942,85920,10026,85450,8350,235,422
2022-03-24,A000157,두산2우B,0.05,142500,44709,139400,35459,148100,25801,146250,15213,191,805
2022-03-24,A000150,두산,8.91,111000,1135257,115600,286862,118650,218835,117500,102681,14131,85304
2022-03-24,A192650,드림텍,20.78,10550,138300,10560,199408,10520,208092,10550,189901,74137,128679
2022-03-24,A024090,디씨엠,1.3,24350,59392,23770,61708,23305,50076,23200,38001,8482,5165
2022-03-24,A092200,디아이씨,2.09,4930,171298,4998,177849,4968,168771,5005,174632,2860,47412
2022-03-24,A263690,디알젬,15.11,9830,9308,9824,18912,9577,13800,9645,10813,2611,2752
2022-03-24,A263720,디앤씨미디어,0.95,32100,20393,31060,26051,29990,26514,30000,24516,3115,3069
2022-03-24,A039840,디오,27.9,36200,36313,36560,79905,36125,199171,36275,105861,2246,5551
2022-03-24,A068930,디지털대성,1.74,8930,37616,9094,196095,8811,132020,8955,80670,4979,9450
2022-03-24,A281740,레이크머티리얼즈,0.5,4800,291626,4844,709942,4735,467750,4725,280599,13472,52532
2022-03-24,A004000,롯데정밀화학,20.68,80500,100179,78760,102583,78440,108538,78250,110063,23959,5959
2022-03-24,A058470,리노공업,47.85,185500,27085,186740,25199,185560,37279,186650,43168,769,810
2022-03-24,A377450,리파인,1.83,14600,84087,14420,217501,13980,153498,14025,92040,39025,68587
2022-03-24,A169330,엠브레인,22.45,4310,143085,4294,251333,4501,256031,4360,176277,13980,4799
2022-03-24,A267980,매일유업,15.21,66200,15844,65900,14770,65590,19934,65700,15197,2860,2427
2022-03-24,A093520,매커스,16.56,11400,1528551,9828,1654774,8995,908813,8570,321314,73184,76227
