날짜,종가,전일비,시가,고가,저가,거래량,NM
2022.03.23,10950,250,10750,11050,10550,78976,마이크로컨텍솔
2022.03.22,10700,0,10700,10800,10500,22597,마이크로컨텍솔
2022.03.21,10700,50,10750,10850,10450,47055,마이크로컨텍솔
2022.03.18,10650,100,10600,10800,10500,59551,마이크로컨텍솔
2022.03.17,10550,500,10300,10700,10250,86877,마이크로컨텍솔
2022.03.16,10050,270,9920,10050,9850,47930,마이크로컨텍솔
2022.03.15,9780,-150,9850,9960,9780,40857,마이크로컨텍솔
2022.03.14,9930,-470,10300,10400,9930,116054,마이크로컨텍솔
2022.03.11,10400,0,10400,10700,10300,54398,마이크로컨텍솔
2022.03.10,10400,0,10400,10700,10250,105393,마이크로컨텍솔
2022.03.23,180000,1000,178500,181000,176500,32656,BGF리테일
2022.03.22,179000,1000,178500,180000,176000,28943,BGF리테일
2022.03.21,178000,500,176000,180000,176000,35359,BGF리테일
2022.03.18,177500,2500,175000,179500,174000,41056,BGF리테일
2022.03.17,175000,-4000,180000,182500,175000,62066,BGF리테일
2022.03.16,179000,6000,171500,185500,170000,99809,BGF리테일
2022.03.15,173000,2000,170500,175000,169000,40281,BGF리테일
2022.03.14,171000,-4000,175000,178500,171000,54739,BGF리테일
2022.03.11,175000,5500,168500,177500,168500,95057,BGF리테일
2022.03.10,169500,0,171000,175000,166500,74316,BGF리테일
2022.03.23,94100,-700,94700,94700,94100,90,DB하이텍1우
2022.03.22,94800,-200,93000,95100,93000,89,DB하이텍1우
2022.03.21,95000,1300,93700,95800,93700,143,DB하이텍1우
2022.03.18,93700,200,94400,94400,93500,336,DB하이텍1우
2022.03.17,93500,1300,92500,93500,92400,546,DB하이텍1우
2022.03.16,92200,200,92100,92800,91500,211,DB하이텍1우
2022.03.15,92000,-1100,93100,93100,92000,327,DB하이텍1우
2022.03.14,93100,-1900,95000,95000,92500,657,DB하이텍1우
2022.03.11,95000,300,95600,95600,94500,199,DB하이텍1우
2022.03.10,94700,0,94000,95900,94000,311,DB하이텍1우
2022.03.23,74900,2300,73500,75400,72800,1191182,DB하이텍
2022.03.22,72600,100,72600,73500,71500,663003,DB하이텍
2022.03.21,72500,600,72100,74800,72100,1508143,DB하이텍
2022.03.18,71900,500,71600,72200,70600,648556,DB하이텍
2022.03.17,71400,2400,71500,72300,70300,1213902,DB하이텍
2022.03.16,69000,900,69600,69900,68200,541691,DB하이텍
2022.03.15,68100,-200,67800,69000,67700,468458,DB하이텍
2022.03.14,68300,-1600,69900,70700,67900,714468,DB하이텍
2022.03.11,69900,-1300,71800,72100,69200,806169,DB하이텍
2022.03.10,71200,0,70300,72300,69700,1351779,DB하이텍
2022.03.23,37650,0,37650,37800,37350,1773,DL우
2022.03.22,37650,100,37550,37850,37550,945,DL우
2022.03.21,37550,200,37800,37800,37300,1393,DL우
2022.03.18,37350,-50,37050,37450,37050,528,DL우
2022.03.17,37400,250,37500,37500,37200,418,DL우
2022.03.16,37150,300,37100,37250,36800,873,DL우
2022.03.15,36850,-150,37000,37000,36200,1222,DL우
2022.03.14,37000,50,37000,37400,36800,489,DL우
2022.03.11,36950,350,37000,37000,36550,475,DL우
2022.03.10,36600,0,36750,36750,36350,216,DL우
2022.03.23,29800,100,29750,30000,29700,15320,DL건설
2022.03.22,29700,0,29700,29950,29200,24887,DL건설
2022.03.21,29700,-750,30400,30500,29500,42443,DL건설
2022.03.18,30450,50,30400,30700,29850,32181,DL건설
2022.03.17,30400,-300,30700,31150,29800,46570,DL건설
2022.03.16,30700,1400,29350,31000,29300,80589,DL건설
2022.03.15,29300,-700,29500,29850,29150,27194,DL건설
2022.03.14,30000,50,30450,30850,29650,69787,DL건설
2022.03.11,29950,700,29350,30200,29100,60574,DL건설
2022.03.10,29250,0,28750,29500,28250,60175,DL건설
2022.03.23,60000,200,59900,60600,59700,37640,DL
2022.03.22,59800,100,59600,60300,59600,38152,DL
2022.03.21,59700,300,59900,60300,59200,28900,DL
2022.03.18,59400,-200,59500,60100,59100,57535,DL
2022.03.17,59600,-300,60700,61000,59600,45998,DL
2022.03.16,59900,1300,59000,59900,58800,36829,DL
2022.03.15,58600,-700,59000,59400,58000,31846,DL
2022.03.14,59300,100,58700,60500,58600,42115,DL
2022.03.11,59200,200,58400,59300,58400,31722,DL
2022.03.10,59000,0,58000,59600,58000,58153,DL
2022.03.23,26300,0,26350,26650,26200,33568,F&F
2022.03.22,26300,-150,26500,26500,26100,39288,F&F
2022.03.21,26450,450,26300,26850,26250,40156,F&F
2022.03.18,26000,-50,26300,27600,26000,171607,F&F
2022.03.17,26050,400,25900,26200,25850,21130,F&F
2022.03.16,25650,100,25700,25850,25500,24210,F&F
2022.03.15,25550,-400,25600,25900,25250,30165,F&F
2022.03.14,25950,-900,26700,27000,25800,43671,F&F
2022.03.11,26850,0,26700,27400,26700,13370,F&F
2022.03.10,26850,0,27850,27850,26850,14930,F&F
2022.03.23,34950,300,34650,34950,34650,2432,GS우
2022.03.22,34650,50,34850,34850,34450,2540,GS우
2022.03.21,34600,0,34600,34750,34500,1112,GS우
2022.03.18,34600,0,34500,34600,34450,967,GS우
2022.03.17,34600,100,34500,34700,34400,2388,GS우
2022.03.16,34500,150,34350,34500,34250,3971,GS우
2022.03.15,34350,-250,34600,34600,34300,2592,GS우
2022.03.14,34600,100,34600,34700,34450,1966,GS우
2022.03.11,34500,50,34350,34600,34350,3552,GS우
2022.03.10,34450,0,34500,34600,34400,1839,GS우
2022.03.23,40500,350,40250,40700,40200,147042,GS
2022.03.22,40150,100,40150,40450,40050,91260,GS
2022.03.21,40050,-250,40300,40350,39850,133914,GS
2022.03.18,40300,650,39850,40300,39800,230320,GS
2022.03.17,39650,-250,40200,40400,39650,240743,GS
2022.03.16,39900,200,39700,39900,39500,168864,GS
2022.03.15,39700,-1150,40450,40500,39700,171615,GS
2022.03.14,40850,400,40250,41200,40250,222385,GS
2022.03.11,40450,50,40500,40550,40000,145358,GS
2022.03.10,40400,0,40600,40750,40150,278343,GS
2022.03.23,105500,4000,104000,109000,103000,264,KG동부제철우
2022.03.22,101500,-3500,101500,102000,101000,129,KG동부제철우
2022.03.21,105000,0,103000,105000,102500,39,KG동부제철우
2022.03.18,105000,3500,106000,106000,101500,29,KG동부제철우
2022.03.17,101500,0,103500,103500,101500,36,KG동부제철우
2022.03.16,101500,-2500,101000,102500,101000,47,KG동부제철우
2022.03.15,104000,2000,106500,106500,100500,13,KG동부제철우
2022.03.14,102000,-6500,109000,109000,102000,99,KG동부제철우
2022.03.11,108500,3500,109000,109000,103000,89,KG동부제철우
2022.03.10,105000,0,105000,105000,101000,171,KG동부제철우
2022.03.23,11750,450,11700,12100,11600,1102156,KG동부제철
2022.03.22,11300,100,11250,11450,11200,221546,KG동부제철
2022.03.21,11200,50,11200,11450,11150,224448,KG동부제철
2022.03.18,11150,350,11100,11500,11000,633172,KG동부제철
2022.03.17,10800,50,11000,11000,10800,172180,KG동부제철
2022.03.16,10750,250,10650,10800,10500,134867,KG동부제철
2022.03.15,10500,-250,10600,10750,10400,189681,KG동부제철
2022.03.14,10750,50,10750,11250,10600,310830,KG동부제철
2022.03.11,10700,-50,10650,10800,10550,121743,KG동부제철
2022.03.10,10750,0,10450,10800,10400,223001,KG동부제철
2022.03.23,34150,500,33800,34250,33100,644379,LG상사
2022.03.22,33650,2300,31900,34500,31850,1541821,LG상사
2022.03.21,31350,550,31150,31650,31000,318241,LG상사
2022.03.18,30800,650,30250,31350,30050,428165,LG상사
2022.03.17,30150,-50,30400,30600,29650,469412,LG상사
2022.03.16,30200,150,30050,30600,29600,332449,LG상사
2022.03.15,30050,-1200,30900,31350,29950,409785,LG상사
2022.03.14,31250,500,31050,32000,30500,597516,LG상사
2022.03.11,30750,450,30300,31250,29850,599060,LG상사
2022.03.10,30300,0,30200,30750,29200,981719,LG상사
2022.03.23,514000,-3000,517000,517000,510000,6535,LG생활건강우
2022.03.22,517000,8000,509000,517000,503000,5481,LG생활건강우
2022.03.21,509000,1000,508000,512000,503000,5397,LG생활건강우
2022.03.18,508000,-4000,512000,512000,497000,14797,LG생활건강우
2022.03.17,512000,17000,503000,512000,500000,2566,LG생활건강우
2022.03.16,495000,11500,484500,495000,484000,3730,LG생활건강우
2022.03.15,483500,-5000,485000,487000,476000,8896,LG생활건강우
2022.03.14,488500,-11500,500000,500000,482500,8546,LG생활건강우
2022.03.11,500000,-10000,502000,509000,494500,7343,LG생활건강우
2022.03.10,510000,0,515000,525000,501000,7482,LG생활건강우
2022.03.23,862000,-4000,870000,876000,857000,44142,LG생활건강
2022.03.22,866000,16000,854000,866000,847000,61541,LG생활건강
2022.03.21,850000,12000,843000,859000,839000,77009,LG생활건강
2022.03.18,838000,-25000,854000,859000,836000,94391,LG생활건강
2022.03.17,863000,25000,854000,873000,847000,97824,LG생활건강
2022.03.16,838000,6000,835000,850000,831000,84467,LG생활건강
2022.03.15,832000,-9000,831000,850000,825000,88546,LG생활건강
2022.03.14,841000,-70000,913000,914000,841000,136361,LG생활건강
2022.03.11,911000,-25000,930000,933000,910000,63971,LG생활건강
2022.03.10,936000,0,945000,950000,923000,69683,LG생활건강
2022.03.23,398500,-13000,414500,414500,397000,459453,LG이노텍
2022.03.22,411500,6500,403000,413500,399000,357711,LG이노텍
2022.03.21,405000,23000,384500,408000,384500,677205,LG이노텍
2022.03.18,382000,12000,372500,384000,371000,482944,LG이노텍
2022.03.17,370000,7500,371000,374500,366000,414725,LG이노텍
2022.03.16,362500,21500,348000,363500,346000,571641,LG이노텍
2022.03.15,341000,1500,337000,346000,336000,304294,LG이노텍
2022.03.14,339500,-11500,350000,351000,333000,501686,LG이노텍
2022.03.11,351000,-2000,352500,356500,345500,276636,LG이노텍
2022.03.10,353000,0,356000,359500,350000,382742,LG이노텍
2022.03.23,259000,7000,256000,259000,252500,10342,LG화학우
2022.03.22,252000,1000,251000,254500,250000,21021,LG화학우
2022.03.21,251000,500,255000,255000,249000,23289,LG화학우
2022.03.18,250500,-3000,255000,257500,250500,44397,LG화학우
2022.03.17,253500,12500,247000,254500,245500,25356,LG화학우
2022.03.16,241000,0,243000,244500,239500,24407,LG화학우
2022.03.15,241000,-7000,246000,248000,240000,30618,LG화학우
2022.03.14,248000,-6500,254500,254500,246000,18864,LG화학우
2022.03.11,254500,-3000,255500,256500,248500,12852,LG화학우
2022.03.10,257500,0,250500,258000,248500,22630,LG화학우
2022.03.23,508000,16000,497500,510000,494500,306544,LG화학
2022.03.22,492000,2000,496500,497000,487500,222919,LG화학
2022.03.21,490000,1500,493000,496500,483000,317216,LG화학
2022.03.18,488500,18500,480000,491500,473000,559378,LG화학
2022.03.17,470000,28000,453500,475000,453500,911878,LG화학
2022.03.16,442000,3000,446000,446500,437000,425454,LG화학
2022.03.15,439000,-18000,447500,451000,438500,678296,LG화학
2022.03.14,457000,-15000,465000,472000,454000,617168,LG화학
2022.03.11,472000,-24500,496000,499500,469500,713668,LG화학
2022.03.10,496500,0,498000,521000,493500,743086,LG화학
2022.03.23,345500,6000,343000,347500,341500,502519,NAVER
2022.03.22,339500,500,340000,341000,336000,301259,NAVER
2022.03.21,339000,-5500,347500,347500,336000,398441,NAVER
2022.03.18,344500,0,345000,346500,341500,722326,NAVER
2022.03.17,344500,14000,337500,348000,337500,1070200,NAVER
2022.03.16,330500,3000,333500,334000,324000,584708,NAVER
2022.03.15,327500,-1500,328500,335000,326000,627012,NAVER
2022.03.14,329000,0,328500,338000,325000,679812,NAVER
2022.03.11,329000,-1500,330000,332000,323000,737003,NAVER
2022.03.10,330500,0,319000,337000,316000,1521280,NAVER
2022.03.23,5170,170,5290,5530,5150,4334920,NI스틸
2022.03.22,5000,40,4965,5080,4865,301204,NI스틸
2022.03.21,4960,40,4895,5090,4830,348686,NI스틸
2022.03.18,4920,150,5100,5230,4800,1131715,NI스틸
2022.03.17,4770,130,4665,4790,4620,286291,NI스틸
2022.03.16,4640,-40,4770,4775,4610,164597,NI스틸
2022.03.15,4680,-130,4790,4825,4615,248244,NI스틸
2022.03.14,4810,275,4540,4895,4505,744403,NI스틸
2022.03.11,4535,20,4460,4585,4455,80268,NI스틸
2022.03.10,4515,0,4550,4560,4410,124921,NI스틸
2022.03.23,110000,-1500,111000,113000,109000,186713,OCI
2022.03.22,111500,2000,110500,112000,110000,137647,OCI
2022.03.21,109500,-3000,113000,114000,109000,199814,OCI
2022.03.18,112500,4000,110000,114000,109000,281499,OCI
2022.03.17,108500,1000,110000,113500,108000,253155,OCI
2022.03.16,107500,-500,108500,109000,106000,193162,OCI
2022.03.15,108000,-5500,112500,113000,107000,339515,OCI
2022.03.14,113500,1500,112000,116500,110500,495362,OCI
2022.03.11,112000,5000,106000,113000,105000,447734,OCI
2022.03.10,107000,0,106500,108000,101000,494842,OCI
2022.03.23,53400,-600,53600,53800,52900,15103,S-Oil우
2022.03.22,54000,600,54200,54300,53700,5133,S-Oil우
2022.03.21,53400,1300,53200,53800,52600,11585,S-Oil우
2022.03.18,52100,600,52000,52700,51800,19703,S-Oil우
2022.03.17,51500,300,51300,51900,51100,6707,S-Oil우
2022.03.16,51200,1350,49450,51300,49450,10360,S-Oil우
2022.03.15,49850,-1150,51400,51400,49850,11931,S-Oil우
2022.03.14,51000,300,51100,51300,50500,4637,S-Oil우
2022.03.11,50700,-1200,51900,51900,50100,12490,S-Oil우
2022.03.10,51900,0,52100,52600,50800,12379,S-Oil우
2022.03.23,89400,0,88700,89600,87100,415192,S-Oil
2022.03.22,89400,1700,88900,89500,88300,317023,S-Oil
2022.03.21,87700,2300,86500,88600,86400,410225,S-Oil
2022.03.18,85400,500,86300,86700,85300,264305,S-Oil
2022.03.17,84900,-100,85000,86100,84500,371910,S-Oil
2022.03.16,85000,2400,82200,86000,81500,558897,S-Oil
2022.03.15,82600,-2900,84000,85400,82600,366121,S-Oil
2022.03.14,85500,1100,84500,86300,84100,405894,S-Oil
2022.03.11,84400,-3800,88600,88600,84200,687663,S-Oil
2022.03.10,88200,0,87300,89400,86500,1059502,S-Oil
2022.03.23,7060,-30,7190,7190,7000,8298,SBI핀테크솔루션즈
2022.03.22,7090,40,7160,7160,7010,6250,SBI핀테크솔루션즈
2022.03.21,7050,-40,7190,7190,7030,9470,SBI핀테크솔루션즈
2022.03.18,7090,60,7030,7160,6940,4919,SBI핀테크솔루션즈
2022.03.17,7030,-40,7180,7180,6870,11548,SBI핀테크솔루션즈
2022.03.16,7070,80,7000,7170,6990,11276,SBI핀테크솔루션즈
2022.03.15,6990,-100,6990,7060,6990,5856,SBI핀테크솔루션즈
2022.03.14,7090,90,7000,7180,7000,12132,SBI핀테크솔루션즈
2022.03.11,7000,-40,6970,7090,6970,12210,SBI핀테크솔루션즈
2022.03.10,7040,0,6810,7060,6810,16003,SBI핀테크솔루션즈
2022.03.23,8270,150,8190,8320,8110,189357,SIMPAC
2022.03.22,8120,100,8050,8170,7990,140843,SIMPAC
2022.03.21,8020,-200,8220,8220,7990,329536,SIMPAC
2022.03.18,8220,270,7990,8400,7950,553741,SIMPAC
2022.03.17,7950,-50,8070,8070,7860,522981,SIMPAC
2022.03.16,8000,-10,8090,8230,7980,719432,SIMPAC
2022.03.15,8010,110,7890,8110,7820,617632,SIMPAC
2022.03.14,7900,70,7830,7920,7670,716958,SIMPAC
2022.03.11,7830,50,7820,7920,7690,293998,SIMPAC
2022.03.10,7780,0,7830,7830,7580,366797,SIMPAC
2022.03.23,30850,-400,31250,31400,30800,13782,SK디앤디
2022.03.22,31250,150,31100,31300,30950,11430,SK디앤디
2022.03.21,31100,50,31200,31250,30750,11208,SK디앤디
2022.03.18,31050,500,30550,31050,30350,17160,SK디앤디
2022.03.17,30550,250,30400,30800,30250,16108,SK디앤디
2022.03.16,30300,150,30900,30900,30200,10655,SK디앤디
2022.03.15,30150,-650,30750,31150,29900,24937,SK디앤디
2022.03.14,30800,-400,31300,31500,30700,20929,SK디앤디
2022.03.11,31200,100,31100,31300,30900,14539,SK디앤디
2022.03.10,31100,0,30900,31100,30500,12872,SK디앤디
2022.03.23,10850,250,11050,11300,10750,2326596,TCC스틸
2022.03.22,10600,500,10250,10600,10100,1014398,TCC스틸
2022.03.21,10100,-100,10300,10300,10050,364951,TCC스틸
2022.03.18,10200,-100,10650,10700,10100,978355,TCC스틸
2022.03.17,10300,590,9960,10350,9850,910544,TCC스틸
2022.03.16,9710,70,9780,9880,9400,866141,TCC스틸
2022.03.15,9640,-410,9930,10100,9570,708133,TCC스틸
2022.03.14,10050,-50,9950,10500,9610,1274918,TCC스틸
2022.03.11,10100,-500,10450,10700,9960,1418090,TCC스틸
2022.03.10,10600,0,10500,10850,10400,1102341,TCC스틸
2022.03.23,41850,1850,40350,42500,39900,216790,계룡건설
2022.03.22,40000,1200,38900,40250,38900,149847,계룡건설
2022.03.21,38800,-450,39500,39600,38700,89895,계룡건설
2022.03.18,39250,-250,39850,39850,38350,86567,계룡건설
2022.03.17,39500,-100,40000,40100,39150,76943,계룡건설
2022.03.16,39600,1400,38600,40150,37950,207430,계룡건설
