DT,CD,NM,FRGN_RT,END_PRC,VOL,PRC_AVG_5,PRC_VOL_5,PRC_AVG_10,PRC_VOL_10,PRC_MEDIAN,VOL_MEDIAN
2022-03-18,A282330,BGF리테일,30.9,177500,41023,175100,59583,171950,64766,172000,61437
2022-03-18,A000995,DB하이텍1우,1.07,93700,336,92900,415,93820,305,93750,274
2022-03-18,A000990,DB하이텍,23.73,71900,641667,69740,716037,69510,821935,69350,738437
2022-03-18,A000215,DL우,7.2,37350,527,37150,705,36855,868,36975,619
2022-03-18,A001880,DL건설,2.11,30450,32160,30170,51260,29470,45263,29625,39365
2022-03-18,A000210,DL,12.35,59400,57383,59360,42834,59020,51972,59250,45477
2022-03-18,A078935,GS우,9.56,34600,965,34530,2376,34575,2752,34550,2490
2022-03-18,A078930,GS,19.09,40300,227694,40080,206260,40585,217925,40425,222819
2022-03-18,A016385,KG동부제철우,0.0,105000,29,102800,44,103230,73,103000,68
2022-03-18,A016380,KG동부제철,1.22,11150,631077,10790,287727,10745,272649,10750,250577
2022-03-18,A001120,LG상사,23.83,30800,423437,30490,446519,30970,902311,30775,598288
2022-03-18,A051905,LG생활건강우,83.72,508000,13667,497400,7481,503500,7317,508000,7668
2022-03-18,A051900,LG생활건강,41.19,838000,93539,842400,100147,889300,76203,887000,77075
2022-03-18,A011070,LG이노텍,24.11,382000,472235,359000,452916,352100,428521,348500,419946
2022-03-18,A051915,LG화학우,71.81,250500,41691,246800,28187,251850,22613,252000,20769
2022-03-18,A051910,LG화학,48.19,488500,552456,459300,637050,481700,569744,480250,584812
2022-03-18,A035420,NAVER,54.7,344500,709139,335200,734174,326450,746971,329000,653412
2022-03-18,A008260,NI스틸,5.21,4920,1129302,4764,514567,4689,506417,4695,321479
2022-03-18,A010060,OCI,14.34,112500,277102,110000,311659,109450,357733,109000,350810
2022-03-18,A010955,S-Oil우,14.28,52100,19701,51130,10667,51905,13777,51700,12434
2022-03-18,A010950,S-Oil,78.27,85400,257325,84680,392029,87120,637984,85450,603627
2022-03-18,A950110,SBI핀테크솔루션즈,80.27,7090,4904,7054,9143,6993,9899,7015,10186
2022-03-18,A009160,SIMPAC,7.27,8220,553506,8016,626101,7899,538173,7865,573541
2022-03-18,A210980,SK디앤디,5.02,31050,17143,30570,17954,30730,15547,30800,14332
2022-03-18,A002710,TCC스틸,1.4,10200,956022,9980,943151,10320,1896603,10200,1188629
2022-03-18,A013580,계룡건설,22.38,39250,83278,39240,127317,38095,152388,38725,94828
2022-03-18,A049720,고려신용정보,1.24,8720,20758,8836,88368,8583,62988,8595,44090
2022-03-18,A098460,고영,63.65,17850,342267,17750,232675,17810,288999,17750,245272
2022-03-18,A215000,골프존,20.2,144500,35410,142700,40157,145470,35369,144650,34574
2022-03-18,A007690,국도화학,19.85,57400,30917,56900,31861,57270,44373,56950,34727
2022-03-18,A083450,GST,9.75,30900,127781,29740,145892,30710,108861,30925,98076
2022-03-18,A002995,금호건설우,0.0,31700,237,31290,729,30750,663,30750,370
2022-03-18,A002990,금호건설,6.41,11400,126709,11410,186918,11190,137297,11275,125969
2022-03-18,A011785,금호석유우,8.71,86300,18120,85440,14472,84180,13626,84100,12787
2022-03-18,A011780,금호석유,20.29,159500,126046,155100,108258,153300,107800,151500,107223
2022-03-18,A190510,나무가,2.21,11750,1679921,10820,479218,10765,352069,10600,181261
2022-03-18,A130580,나이스디앤비,45.35,9610,2592,9630,4489,9609,3613,9615,2857
2022-03-18,A041140,넥슨지티,1.07,22700,1881941,22450,2423768,22415,4625202,22650,3018782
2022-03-18,A194700,노바렉스,2.27,41850,10485,41640,19077,41740,42185,41800,24909
2022-03-18,A285490,노바텍,0.57,36300,24589,35140,49292,35710,47590,35975,48473
2022-03-18,A270870,뉴트리,3.42,19350,6188,18940,15254,19160,14881,19150,13315
2022-03-18,A119860,다나와,10.76,23500,64682,22430,68793,22500,48571,22525,28172
2022-03-18,A047040,대우건설,10.71,7130,2431797,7152,3982182,7079,5125779,7075,5102865
2022-03-18,A078600,대주전자재료,13.25,91700,194334,85480,215892,86780,181392,87800,160765
2022-03-18,A054670,대한뉴팜,0.97,11300,157960,11040,101028,11115,177912,11075,140423
2022-03-18,A084010,대한제강,10.22,21500,203950,21790,256774,23190,307735,22950,306979
2022-03-18,A005880,대한해운,6.03,2830,1435366,2891,2944600,2971,6177856,2982,4046471
2022-03-18,A298540,더네이쳐홀딩스,14.57,32400,93790,32260,114721,33200,100300,33225,87372
2022-03-18,A192080,더블유게임즈,10.23,51400,40112,50920,43087,50615,52130,50450,46647
2022-03-18,A299170,더블유에스아이,0.02,2540,71177,2490,46482,2489,30739,2485,26976
2022-03-18,A145720,덴티움,18.18,74100,152503,70900,197831,71650,245332,71450,196291
2022-03-18,A001230,동국제강,22.54,16950,1070473,16790,683350,16855,737973,16825,673022
2022-03-18,A005965,동부건설우,18.65,30600,2260,30480,5263,30310,7427,30450,5511
2022-03-18,A005960,동부건설,1.65,14400,54614,14320,113704,14035,92694,14025,67446
2022-03-18,A005290,동진쎄미켐,7.71,36700,2630809,33260,1139585,33615,863616,33550,591111
2022-03-18,A000155,두산우,14.33,85500,11249,85500,8814,84750,11344,84750,7922
2022-03-18,A000157,두산2우B,0.04,139500,9064,151200,13050,147450,21716,147500,16206
2022-03-18,A000150,두산,9.03,118000,92770,120000,118120,120100,158758,119000,145424
2022-03-18,A042670,두산인프라코어,9.52,6890,1207925,6728,1339015,6827,1305547,6855,1270473
2022-03-18,A192650,드림텍,20.78,10600,245924,10500,237167,10510,227816,10500,240671
2022-03-18,A024090,디씨엠,0.99,23700,108556,22980,52150,22905,41847,22850,35921
2022-03-18,A263720,디앤씨미디어,1.0,30400,26898,29100,27049,29065,26246,28875,25592
2022-03-18,A039840,디오,28.28,37300,164797,35900,338470,35920,235771,35900,179062
2022-03-18,A068930,디지털대성,1.68,9390,631176,8740,191074,8549,104910,8385,24689
2022-03-18,A290550,디케이티,0.28,15350,202148,14910,260746,14700,208791,14675,194815
2022-03-18,A281740,레이크머티리얼즈,0.54,4740,258415,4648,225975,4648,246512,4630,263993
2022-03-18,A004000,롯데정밀화학,20.56,77000,112288,77760,98163,76900,106256,77300,99260
2022-03-18,A058470,리노공업,47.85,188400,40963,184580,47207,183240,54990,181900,48500
2022-03-18,A169330,엠브레인,22.49,4325,383695,4595,322399,4795,217406,4877,98944
2022-03-18,A267980,매일유업,15.17,65600,19425,65060,20339,66410,18685,66150,15191
2022-03-18,A067280,멀티캠퍼스,6.8,42600,3892,41870,6215,41770,6008,41700,6096
2022-03-18,A215200,메가스터디교육,31.9,97200,169228,94480,135399,90670,103242,89550,74341
2022-03-18,A138040,메리츠금융지주,8.01,34600,757899,33650,580327,32975,532055,33250,521950
2022-03-18,A008560,메리츠증권,12.6,6000,3165384,5804,1869010,5779,1598049,5705,1451608
2022-03-18,A000060,메리츠화재,11.79,41100,524569,39490,408275,38135,419911,37825,411045
2022-03-18,A009900,명신산업,3.08,23550,940851,23130,373760,23350,293427,23525,219674
2022-03-18,A008420,문배철강,0.33,4485,8172973,4386,2134824,4393,1524410,4357,619222
2022-03-18,A214180,민앤지,12.8,17800,23674,17610,23929,17585,22037,17575,22356
2022-03-18,A222160,바이옵트로,0.64,8530,112258,7986,141111,8060,207412,8035,128878
2022-03-18,A043150,바텍,28.46,40750,138349,39230,113355,38745,90237,38275,68937
2022-03-18,A100120,뷰웍스,31.45,39200,35967,39040,26575,39075,22479,39100,21247
2022-03-18,A090460,비에이치,9.56,21400,776961,20180,1050045,19820,726542,19550,492139
2022-03-18,A335890,비올,1.83,2330,580675,2327,660054,2377,728328,2377,615594
2022-03-18,A093190,빅솔론,13.64,6250,26183,6182,30008,6179,34202,6195,30545
2022-03-18,A143240,사람인에이치알,30.38,40150,12142,40830,20342,40275,16592,40450,16767
2022-03-18,A028050,삼성엔지니어링,40.35,26200,1629900,26590,2794247,26435,3466248,26450,3426567
2022-03-18,A016360,삼성증권,30.2,42500,486790,41480,421201,41465,342811,41175,319911
2022-03-18,A003230,삼양식품,9.98,92300,63771,88220,48988,86200,55434,86350,50182
2022-03-18,A017480,삼현철강,2.77,6530,234218,6410,125487,6346,110387,6395,89335
2022-03-18,A001820,삼화콘덴서,7.49,56700,74984,55640,65927,55560,54260,55700,53145
2022-03-18,A038070,서린바이오,4.41,17150,111738,16470,63157,16435,70574,16350,70438
2022-03-18,A063170,서울옥션,1.14,23300,191465,22880,282175,22390,244080,22300,198692
2022-03-18,A003030,세아제강지주,6.93,119500,39659,120000,33940,124650,36909,123250,38870
2022-03-18,A075580,세진중공업,1.33,6700,71094,6678,158448,6853,362268,6770,204062
2022-03-18,A068270,셀트리온,20.26,186500,472836,182700,718558,176150,664889,176500,599527
2022-03-18,A357780,솔브레인,27.69,236100,23116,222260,30499,218630,34372,217000,29689
2022-03-18,A039670,스포츠서울,2.55,7360,0,7360,0,7360,0,7360,0
2022-03-18,A035510,신세계 I&C,1.47,181500,4685,179900,6093,178700,7426,179500,7363
2022-03-18,A001725,신영증권우,6.25,63100,1266,62880,981,62910,869,62900,742
2022-03-18,A001720,신영증권,7.93,63200,5850,62900,5510,62840,4771,62850,4844
2022-03-18,A108320,실리콘웍스,34.33,131200,206058,124860,195932,122700,219386,121250,194891
2022-03-18,A222800,심텍,13.99,52900,1121008,50370,796005,50715,702565,50800,624920
2022-03-18,A160980,싸이맥스,2.07,17400,97255,16530,54462,16430,40217,16250,25475
2022-03-18,A051500,CJ프레시웨이,17.85,35800,153794,37130,94323,37895,101313,37625,89884
2022-03-18,A096530,씨젠,16.55,53600,407800,51520,621107,52350,605279,52700,608642
2022-03-18,A127710,아시아경제,3.08,3095,228479,3008,192458,2998,281526,3005,239394
2022-03-18,A095340,ISC,5.89,29000,118853,28000,194466,28565,190954,28725,161446
2022-03-18,A307180,아이엘사이언스,1.47,4730,59345,4677,77292,4572,90511,4605,81299
2022-03-18,A027360,아주IB투자,1.61,4035,543494,3905,549010,3791,439338,3785,358839
2022-03-18,A067160,아프리카TV,41.74,156300,100078,153060,206066,150620,230662,148600,212695
2022-03-18,A123750,알톤스포츠,0.45,4975,40249,4968,89242,4902,69628,4945,58567
2022-03-18,A238120,얼라인드,0.79,8440,7993,8280,11340,8165,10307,8140,9662
2022-03-18,A289080,SV인베스트먼트,0.14,3690,526885,3575,490506,3565,506867,3537,470403
2022-03-18,A034120,SBS,0.0,40600,24724,40250,40610,41005,43311,40925,37223
2022-03-18,A306040,에스제이그룹,3.14,25100,59133,24390,75292,23880,61726,23650,48180
2022-03-18,A004060,SG세계물산,2.17,703,1658907,703,5235355,682,4308127,679,3066634
2022-03-18,A016250,SGC이테크건설,3.98,60500,5355,59740,11070,58940,9054,58800,5562
2022-03-18,A302440,SK바이오사이언스,5.21,148000,1303618,141300,596119,144300,445203,146500,290987
2022-03-18,A326030,SK바이오팜,6.11,91900,199927,90580,194969,88440,168289,87800,177938
2022-03-18,A000660,SK하이닉스,50.62,124000,4451010,118600,4432281,119200,4123372,118750,3679511
2022-03-18,A036640,HRS,0.15,8480,392017,8504,1020552,8393,1042344,8490,931199
2022-03-18,A011200,HMM,12.02,33950,10540496,32960,8557645,33385,14754755,33400,10307722
2022-03-18,A230240,에치에프알,3.18,30450,134820,29100,116389,28895,90942,28750,66691
