종목명,급등률,종가,거래량,구분
제테마,621.58,39050.0,857429.0,both
솔루스첨단소재1우,6495.21,18450.0,480421.0,right_only
솔루스첨단소재2우B,4650.25,31150.0,80458.0,right_only
KPX홀딩스,3801.35,80000.0,168880.0,right_only
한국파마,2609.08,52600.0,1487268.0,right_only
동원시스템즈우,1460.75,44100.0,43203.0,right_only
대덕전자1우,1388.35,15850.0,819047.0,right_only
휴온스글로벌,1109.89,70000.0,3429167.0,right_only
신풍제약,1088.46,75100.0,8221040.0,right_only
HDC,940.76,14600.0,5214010.0,right_only
한국유니온제약,835.38,17000.0,1162588.0,right_only
셀리드,395.5,82400.0,3240765.0,right_only
유바이오로직스,315.48,46100.0,11560178.0,right_only
