종목명,종가,거래량,급등률,외국인비율,구분
STX중공업,10050,,,0.0,left_only
위드텍,26850,,,0.16,left_only
해성티피씨,22400,,,0.17,left_only
이삭엔지니어링,18250,,,0.19,left_only
씨앤지하이테크,13550,,,0.29,left_only
동양우,11650,,,0.3,left_only
에프앤가이드,10500,,,0.31,left_only
남화산업,10100,,,0.36,left_only
세경하이테크,21200,,,0.55,left_only
키네마스터,44200,,,0.68,left_only
액트로,10050,,,1.02,left_only
코아스템,16900,,,1.1,left_only
엔시스,20300,,,1.28,left_only
조광페인트,10250,,,1.84,left_only
펌텍코리아,22850,,,1.85,left_only
한국맥널티,10200,,,1.88,left_only
태웅로직스,10050,,,1.99,left_only
아이텍,10000,,,2.26,left_only
제테마,39250,,,2.29,left_only
도화엔지니어링,10100,,,2.47,left_only
삼일제약,10200,,,2.49,left_only
알엔투테크놀로지,16150,,,2.83,left_only
이스트소프트,10000,,,3.14,left_only
쎄트렉아이,50000,,,3.54,left_only
한일홀딩스,15200,,,3.8,left_only
이라이콤,12300,,,3.96,left_only
영풍정밀,10100,,,6.61,left_only
하림지주,12800,,,6.92,left_only
다원시스,19150,,,7.21,left_only
대창단조,10250,,,8.13,left_only
한화3우B,16200,,,9.95,left_only
대한항공,30000,,,11.0,left_only
신성델타테크,10500,,,11.93,left_only
한진칼,49900,,,15.32,left_only
대상,29300,,,16.3,left_only
하이텍팜,17100,,,42.65,left_only
삼아알미늄,15100,15479819.0,1372.18,33.54,right_only
KG동부제철,23450,4548780.0,385.63,0.22,right_only
세아베스틸,34350,3731239.0,366.18,14.37,right_only
