NM,NEWS
BGF리테일,"하나금융투자가 17일 BGF리테일에 대해 투자의견 '매수'를 유지하고, 목표주가를 기존 20만원에서 22만원으로 상향했다. 박종대 하나금융투자 연구원은 BGF리테일의 올해 업황 회복이 예상되고 새 정부 정책에 대한..."
BGF리테일,○반등하는 편의점주 BGF리테일은 18일 1.43% 오른 17만7500원에 거래를 마쳤다. 이달 들어 4.72% 상승했다. 올해 주가 상승률은 21.65%에 달한다. 올 들어 코스피지수가 9.06% 내린 것과 대비된다. GS리테일은 이날 1.79% 상승한...
BGF리테일,"하나금투는 편의점 CU를 운영하는 BGF리테일도 찍었다. 신규 점포 확대, 상품믹스 개선, 시장 점유율 상승이 긍정적이라고 했다. 위드코로나 및 시장 재편으로 사업 환경이 우호적이다. 실적 모멘텀 확대도..."
BGF리테일,BGF리테일의 목표주가가 높아졌다. 2022년 편의점 업황이 회복될 것으로 전망됐다. 2022년 편의점업황이 회복돼 BGF리테일 실적이 좋아질 것으로 전망됐다. 이건준 BGF리테일 대표이사. 박종대 하나금융투자...
BGF리테일,한화투자증권은 BGF리테일(282330)에 대해 올해에도 실적 성장세가 이어질 것으로 전망했다. 리오프닝(경기재개)에 따라 전체적인 집객력이 회복되고 있다는 판단이다. 자회사 경쟁력 확대를 통해 본업과 시너지 창출되...
BGF리테일,CU를 운영하고 있는 BGF리테일이 경북 울진의 산불 피해 구호 지원을 위해 이동형 편의점을 긴급 파견했다고 10일 밝혔다. BGF리테일은 국가위기경보 단계의 대형 산불로 인해 막대한 피해가 발생한 울진에 CU 이동형...
BGF리테일,"사진=BGF리테일 CU를 운영하는 BGF리테일은 하나은행, 하나카드와 손잡고 Z세대 맞춤형 카드 'CU 영하나플러스 체크카드'를 선보인다고 14일 밝혔다. 'CU 영하나플러스 체크카드'는 주민등록증을 생애 최초로 발급받는 만..."
BGF리테일,"하나금융그룹의 하나은행(은행장 박성호)과 하나카드(대표이사 권길주)는 14일, BGF리테일(대표이사 이건준)과 함께 Z세대 맞춤 'CU영하나플러스(CU Young Hana Plus) 체크카드'를 출시했다. 이 카드는 최근 새로운..."
BGF리테일,하나은행과 하나카드가 BGF리테일과 함께 Z세대 맞춤 'CU영하나플러스 체크카드'를 출시했다. 14일 하나은행에 따르면 이 카드는 최근 새로운 소비세력으로 급부상하는 10대(Z세대)들의 소비 패턴과 구매력을 분석한...
BGF리테일,한국편의점산업협회는 지난 4일 정기총회를 열고 편의점 CU를 운영하는 BGF리테일(282330)의 이건준 대표이사를 제15대 협회장으로 선임했다고 6일 밝혔다. 1993년 BGF그룹에 입사한 이 신임 회장은 2020년부터 BGF리테일...
BGF리테일,CU를 운영하는 BGF리테일이 대형 산불이 발생한 경북 울진에 이재민 및 소방 인력들을 위한 긴급 구호물품을 지원했다고 6일 밝혔다. 지난 4일 오전 경북 울진군 북면 두천리의 한 야산에서 시작된 산불이 강한 바람을...
BGF리테일,"먼저 편의점 CU를 운영하는 BGF리테일은 이달 29일 정기주주총회를 열고 사업목적을 추가하기 위한 정관 변경을 논의한다. 추가 사업목적은 '건강 보조식품 소매업'과 '고속도로 휴게소 및 주유소(LPG, 전기 충전소)의 건설..."
BGF리테일,BGF리테일은 지난해 하나은행과 협약을 맺고 ‘송파구 CU마천파크점’을 리뉴얼해 국내 최초 상업자 표시 편의점(PLCS)을 열었다. 이곳에 ‘하나은행 스마트 셀프존’을 만들고 50여가지 은행 업무가 가능한...
BGF리테일,"ⓒ각사 CI 국내 편의점업계 양대산맥인 BGF리테일과 GS리테일의 올해 정기 주주총회 주요 의제는 '이사회 재정비'와 '신사업'이 될 전망이다. BGF리테일은 오는 29일 개최될 예정인 주총에서 사외이사, 감사위원 선임..."
BGF리테일,"&lt;본문 중에서&gt; 홍석조 회장의 이건준 대표이사 발탁은 성공적이라는 평가 연결재무제표 기준 영업실적, 단위: 원, 출처: 금융감독원 2019년 10월 '이건준' 대표이사가 'BGF리테일(이하 CU)'에 취임한 이후 2020년 코로나19..."
BGF리테일,17일 한국거래소에 따르면 국내 편의점업계 1위 ‘CU’를 운영하는 BGF리테일은 이달 들어 7.36% 올랐다. 같은 기간 코스피가 0.33% 하락한 것과 비교하면 두드러진 수익률이다. CU와 함께 국내 편의점 양대 산맥인 ‘GS25’...
BGF리테일,"이런 와중에 편의점 CU를 운영하는 BGF리테일로부터 협업을 제안받았다. 서울시스터즈는 편의점 위탁생산(OEM) 덕분에 짧은 기간 내에 취급 품목수(SKU)를 확장하는 데 성공했다. 김치아몬드, 김치바삭김, 김치볶음밥..."
BGF리테일,BGF리테일이 운영하는 편의점 CU는 수산물전문 유통플랫폼 인어교주해적단과 손잡고 수산시장 활어회를 편의점에서 픽업할 수 있는 서비스를 도입했다고 15일 밝혔다. 편의점 CU가 주문한 활어회를 당일 수령할 수 있는...
BGF리테일,"롯데, 신세계, BGF리테일 등 유통업체들이 신사업에 잇따라 뛰어들고 있다. 쿠팡, 네이버 등 ‘e커머스 공룡’들과의 치열한 경쟁에서 살아남기 위한 새로운 도전이다. 13일 유통업계에 따르면 롯데쇼핑은 오는 23일로..."
BGF리테일,"대신증권은 7일 BGF리테일에 대해 투자의견 매수와 목표주가 20만4000원을 유지했다. BGF리테일은 코로나19 영향하에 특수 입지 비중이 높아 상대적으로 실적 악화가 크게 나타났지만, 올해에는 반대로 빠른 회복세를 보일..."
BGF리테일,한국편의점산업협회는 지난 4일 정기총회를 열고 편의점 CU를 운영하는 BGF리테일의 이건준 대표이사를 제15대 협회장으로 선임했다고 6일 밝혔다. 1993년 BGF그룹에 입사한 이 신임 회장은 2020년부터 BGF리테일 대표를...
BGF리테일,"◆ 실적 성장세 지속...한화투자증권, BGF리테일 투자의견 매수 한화투자증권은 BGF리테일에 대해 리오프닝에 따라 전체적인 집객력이 회복되고 있고 주택가 입지 점포 비중이 높아진 만큼 구조적 성장도 가능하다고..."
BGF리테일,BGF리테일이 미래 고객인 MZ(밀레니얼+Z)세대 확보를 위해 디지털 마케팅을 다각화하고 있다. 지난해 메타버스(Metaverse) 플랫폼 시장에 진출한 데 이어 최근에는 NFT까지 영역을 넓혔다. 메타버스는 BGF리테일이 미래...
BGF리테일,BGF리테일은 경북 울진군 산불 피해 주민을 위해 구호물품을 지원했다. (사진=BGF리테일) 편의점 씨유(CU)를 운영하는 비지에프(BGF)리테일이 산불로 큰 피해를 입은 경북 울진군에 이재민 및 소방인력을 위한 구호물품을...
BGF리테일,BGF리테일은 편의점 CU 새 결제수단으로 아이폰 전용 간편결제 ‘미래에셋페이’를 도입한다고 17일 밝혔다. 회사는 지난해 미래에셋증권과 업무협약을 맺고 전국 점포에 근거리 무선통신(NFC) 기반 미래에셋페이...
BGF리테일,"진도 대파 소불고기 유부초밥 간편식품 개발, 소비자 인기 예상 BGF리테일과 전남 진도군이 최근 진도 대파와 진도아리랑 청정 농산물 홍보·소비 촉진을 위한 업무협약을 체결했다. 또 진도 대파를 활용한 상품이 ‘CU..."
BGF리테일,"CU를 운영하고 있는 BGF리테일이 대형 산불이 발생한 경북 울진에 이재민 및 소방 인력들을 위한 긴급 구호물품을 지원했다. BGF리테일은 산불 소식을 듣자마자 행정안전부, 전국재해구호협회와 구축하고 있는 국가 재난..."
BGF리테일,"▲ 희망브리지 전국재해구호협회와 편의점 CU를 운영하는 BGF리테일은 코로나19 감염이 확산하는 서울동부구치소와 전주교도소에 컵라면과 캔 음료, 초코바 등 구호물자 1만2천424개를 지원했다. 이들 물품은..."
BGF리테일,"CU를 운영하는 BGF리테일은 행정안전부·전국재해구호협회와 함께 구축한 국가 재난 긴급 구호 활동인 ‘BGF브릿지’를 가동했다. BGF리테일은 BGF로지스 대구센터·칠곡센터를 통해 빵과 음료수, 생수, 컵라면 등..."
BGF리테일,"편의점 CU를 운영하는 BGF리테일은 행정안전부·전국재해구호협회와 함께 구축한 국가 재난 긴급 구호 활동인 'BGF브릿지'를 가동했다. BGF리테일은 BGF로지스 대구센터·칠곡센터를 통해 빵과 음료수, 생수, 컵라면 등..."
BGF리테일,(왼쪽부터 시계방향으로)BGF리테일 직원들이 경북 울진 이재민과 소방 인력에게 보낼 긴급 구호물품을 트럭에 싣고 있다. SK텔레콤 직원들이 경북 울진 현장통합지휘본부 인근에 이동기지국을 설치하는 모습. 오비맥주...
BGF리테일,"BGF리테일 관계자는 “CU끼리 택배의 이러한 급성장은 가치 소비와 새로운 편의를 추구하는 MZ세대들의 영향이 컸다”며 “실제로 지난해 CU끼리 택배를 이용한 고객들의 연령대를 살펴보면 20대 32.8%, 30대 35.5%로..."
BGF리테일,반면 편의점 CU를 운영하는 BGF리테일은 10일 2020년보다 좋은 실적을 발표하며 시가 총액에서 1조 원 이상 차이가 나던 GS리테일을 최근 앞서기 시작했다. 이 같은 실적 변화에 대해서 각 기업은 신종...
BGF리테일,창녕군은 지난달 28일 BGF리테일과 농산물 소비촉진을 위한 유통확대 업무협약을 체결했다. BGF리테일은 전국 편의점 프렌차이즈 CU를 운영하는 종합유통서비스 기업이다. 이번 협약을 통해 3월 초 창녕마늘을 활용한 햄...
BGF리테일,"좌측부터 BGF 리테일 진영호 본부장, 이장식 포항시 부시장, 배영흥 포항시농업인단체협의회장 포항시가 BGF리테일·포항시농업인단체협의회와 지역농산물 판로 확대를 위한 업무협약을 지난 4일 체결했다. 이번 업무..."
BGF리테일,"신세계·롯데·코오롱FnC·GS리테일·BGF리테일, 이재민에 필요한 생필품 지원 유통업계가 경북 울진과 강원 삼척 지역에서 산불로 피해를 본 이재민들에게 생필품을 긴급 지원하고 있다. 7일 신세계그룹에 따르면 이마트는..."
BGF리테일,"반면 같은 업계이자 경쟁사로 언급되는 BGF리테일은 실적이 개선됐다. BGF리테일의 지난해 연간 기준 매출은 6조7812억 원, 영업이익은 1994억 원을 기록했다. 매출과 영업이익은 각각 9.7% 22.9% 늘어났다. ◆ 합병 시너지..."
BGF리테일,"이베스트투자증권은 28일 BGF리테일에 대해 올해 리오프닝이 본격화한다면 2, 3분기 성수기 효과를 누릴 수 있을 것이라며 투자의견 '매수', 목표주가 20만6000원을 유지했다. 오린아 이베스트투자증권 연구원은 ""2022년..."
BGF리테일,BGF리테일은 산불피해가 발생한 울진에 CU 이동형 편의점을 보내 식음료를 무상 지원했다. 사진 BGF리테일 제공 풀무원샘물은 산불 피해를 입은 경상북도 울진군 현장지원센터에 샘물 500ml 약 1만병을 직접 전달할...
