날짜,종가,전일비,시가,고가,저가,거래량,NM
2022.03.22,179000,1000,178500,180000,176000,28891,BGF리테일
2022.03.21,178000,500,176000,180000,176000,35359,BGF리테일
2022.03.18,177500,2500,175000,179500,174000,41056,BGF리테일
2022.03.17,175000,4000,180000,182500,175000,62066,BGF리테일
2022.03.16,179000,6000,171500,185500,170000,99809,BGF리테일
2022.03.15,173000,2000,170500,175000,169000,40281,BGF리테일
2022.03.14,171000,4000,175000,178500,171000,54739,BGF리테일
2022.03.11,175000,5500,168500,177500,168500,95057,BGF리테일
2022.03.10,169500,1000,171000,175000,166500,74316,BGF리테일
2022.03.08,170500,3000,168500,176500,167000,92970,BGF리테일
2022.03.22,94800,200,93000,95100,93000,89,DB하이텍1우
2022.03.21,95000,1300,93700,95800,93700,143,DB하이텍1우
2022.03.18,93700,200,94400,94400,93500,336,DB하이텍1우
2022.03.17,93500,1300,92500,93500,92400,546,DB하이텍1우
2022.03.16,92200,200,92100,92800,91500,211,DB하이텍1우
2022.03.15,92000,1100,93100,93100,92000,327,DB하이텍1우
2022.03.14,93100,1900,95000,95000,92500,657,DB하이텍1우
2022.03.11,95000,300,95600,95600,94500,199,DB하이텍1우
2022.03.10,94700,900,94000,95900,94000,311,DB하이텍1우
2022.03.08,93800,1200,94500,94500,93700,237,DB하이텍1우
2022.03.22,72600,100,72600,73500,71500,655794,DB하이텍
2022.03.21,72500,600,72100,74800,72100,1508143,DB하이텍
2022.03.18,71900,500,71600,72200,70600,648556,DB하이텍
2022.03.17,71400,2400,71500,72300,70300,1213902,DB하이텍
2022.03.16,69000,900,69600,69900,68200,541691,DB하이텍
2022.03.15,68100,200,67800,69000,67700,468458,DB하이텍
2022.03.14,68300,1600,69900,70700,67900,714468,DB하이텍
2022.03.11,69900,1300,71800,72100,69200,806169,DB하이텍
2022.03.10,71200,3400,70300,72300,69700,1351779,DB하이텍
2022.03.08,67800,0,66300,70200,66200,1199227,DB하이텍
2022.03.22,37650,100,37550,37850,37550,945,DL우
2022.03.21,37550,200,37800,37800,37300,1393,DL우
2022.03.18,37350,50,37050,37450,37050,528,DL우
2022.03.17,37400,250,37500,37500,37200,418,DL우
2022.03.16,37150,300,37100,37250,36800,873,DL우
2022.03.15,36850,150,37000,37000,36200,1222,DL우
2022.03.14,37000,50,37000,37400,36800,489,DL우
2022.03.11,36950,350,37000,37000,36550,475,DL우
2022.03.10,36600,650,36750,36750,36350,216,DL우
2022.03.08,35950,100,36850,36850,35150,893,DL우
2022.03.22,29700,0,29700,29950,29200,23972,DL건설
2022.03.21,29700,750,30400,30500,29500,42443,DL건설
2022.03.18,30450,50,30400,30700,29850,32181,DL건설
2022.03.17,30400,300,30700,31150,29800,46570,DL건설
2022.03.16,30700,1400,29350,31000,29300,80589,DL건설
2022.03.15,29300,700,29500,29850,29150,27194,DL건설
2022.03.14,30000,50,30450,30850,29650,69787,DL건설
2022.03.11,29950,700,29350,30200,29100,60574,DL건설
2022.03.10,29250,1550,28750,29500,28250,60175,DL건설
2022.03.08,27700,750,27750,27950,27500,22941,DL건설
2022.03.22,59800,100,59600,60300,59600,37962,DL
2022.03.21,59700,300,59900,60300,59200,28900,DL
2022.03.18,59400,200,59500,60100,59100,57535,DL
2022.03.17,59600,300,60700,61000,59600,45998,DL
2022.03.16,59900,1300,59000,59900,58800,36829,DL
2022.03.15,58600,700,59000,59400,58000,31846,DL
2022.03.14,59300,100,58700,60500,58600,42115,DL
2022.03.11,59200,200,58400,59300,58400,31722,DL
2022.03.10,59000,1900,58000,59600,58000,58153,DL
2022.03.08,57100,300,57000,57800,56400,56637,DL
2022.03.22,34650,50,34850,34850,34450,2540,GS우
2022.03.21,34600,0,34600,34750,34500,1112,GS우
2022.03.18,34600,0,34500,34600,34450,967,GS우
2022.03.17,34600,100,34500,34700,34400,2388,GS우
2022.03.16,34500,150,34350,34500,34250,3971,GS우
2022.03.15,34350,250,34600,34600,34300,2592,GS우
2022.03.14,34600,100,34600,34700,34450,1966,GS우
2022.03.11,34500,50,34350,34600,34350,3552,GS우
2022.03.10,34450,50,34500,34600,34400,1839,GS우
2022.03.08,34500,250,34750,34750,34400,1652,GS우
2022.03.22,40150,100,40150,40450,40050,91181,GS
2022.03.21,40050,250,40300,40350,39850,133914,GS
2022.03.18,40300,650,39850,40300,39800,230320,GS
2022.03.17,39650,250,40200,40400,39650,240743,GS
2022.03.16,39900,200,39700,39900,39500,168864,GS
2022.03.15,39700,1150,40450,40500,39700,171615,GS
2022.03.14,40850,400,40250,41200,40250,222385,GS
2022.03.11,40450,50,40500,40550,40000,145358,GS
2022.03.10,40400,250,40600,40750,40150,278343,GS
2022.03.08,40650,1250,41900,42200,40550,223253,GS
2022.03.22,101500,3500,101500,102000,101000,129,KG동부제철우
2022.03.21,105000,0,103000,105000,102500,39,KG동부제철우
2022.03.18,105000,3500,106000,106000,101500,29,KG동부제철우
2022.03.17,101500,0,103500,103500,101500,36,KG동부제철우
2022.03.16,101500,2500,101000,102500,101000,47,KG동부제철우
2022.03.15,104000,2000,106500,106500,100500,13,KG동부제철우
2022.03.14,102000,6500,109000,109000,102000,99,KG동부제철우
2022.03.11,108500,3500,109000,109000,103000,89,KG동부제철우
2022.03.10,105000,3500,105000,105000,101000,171,KG동부제철우
2022.03.08,101500,2700,105000,105000,99500,109,KG동부제철우
2022.03.22,11300,100,11250,11450,11200,206125,KG동부제철
2022.03.21,11200,50,11200,11450,11150,224448,KG동부제철
2022.03.18,11150,350,11100,11500,11000,633172,KG동부제철
2022.03.17,10800,50,11000,11000,10800,172180,KG동부제철
2022.03.16,10750,250,10650,10800,10500,134867,KG동부제철
2022.03.15,10500,250,10600,10750,10400,189681,KG동부제철
2022.03.14,10750,50,10750,11250,10600,310830,KG동부제철
2022.03.11,10700,50,10650,10800,10550,121743,KG동부제철
2022.03.10,10750,500,10450,10800,10400,223001,KG동부제철
2022.03.08,10250,400,10500,10600,10250,302992,KG동부제철
2022.03.22,33650,2300,31900,34500,31850,1537030,LG상사
2022.03.21,31350,550,31150,31650,31000,318241,LG상사
2022.03.18,30800,650,30250,31350,30050,428165,LG상사
2022.03.17,30150,50,30400,30600,29650,469412,LG상사
2022.03.16,30200,150,30050,30600,29600,332449,LG상사
2022.03.15,30050,1200,30900,31350,29950,409785,LG상사
2022.03.14,31250,500,31050,32000,30500,597516,LG상사
2022.03.11,30750,450,30300,31250,29850,599060,LG상사
2022.03.10,30300,950,30200,30750,29200,981719,LG상사
2022.03.08,31250,2050,33700,34200,31100,1515159,LG상사
2022.03.22,517000,8000,509000,517000,503000,3579,LG생활건강우
2022.03.21,509000,1000,508000,512000,503000,5397,LG생활건강우
2022.03.18,508000,4000,512000,512000,497000,14797,LG생활건강우
2022.03.17,512000,17000,503000,512000,500000,2566,LG생활건강우
2022.03.16,495000,11500,484500,495000,484000,3730,LG생활건강우
2022.03.15,483500,5000,485000,487000,476000,8896,LG생활건강우
2022.03.14,488500,11500,500000,500000,482500,8546,LG생활건강우
2022.03.11,500000,10000,502000,509000,494500,7343,LG생활건강우
2022.03.10,510000,2000,515000,525000,501000,7482,LG생활건강우
2022.03.08,508000,2000,505000,510000,499500,8194,LG생활건강우
2022.03.22,866000,16000,854000,866000,847000,61451,LG생활건강
2022.03.21,850000,12000,843000,859000,839000,77009,LG생활건강
2022.03.18,838000,25000,854000,859000,836000,94391,LG생활건강
2022.03.17,863000,25000,854000,873000,847000,97824,LG생활건강
2022.03.16,838000,6000,835000,850000,831000,84467,LG생활건강
2022.03.15,832000,9000,831000,850000,825000,88546,LG생활건강
2022.03.14,841000,70000,913000,914000,841000,136361,LG생활건강
2022.03.11,911000,25000,930000,933000,910000,63971,LG생활건강
2022.03.10,936000,3000,945000,950000,923000,69683,LG생활건강
2022.03.08,933000,18000,946000,956000,933000,39323,LG생활건강
2022.03.22,411500,6500,403000,413500,399000,356758,LG이노텍
2022.03.21,405000,23000,384500,408000,384500,677205,LG이노텍
2022.03.18,382000,12000,372500,384000,371000,482944,LG이노텍
2022.03.17,370000,7500,371000,374500,366000,414725,LG이노텍
2022.03.16,362500,21500,348000,363500,346000,571641,LG이노텍
2022.03.15,341000,1500,337000,346000,336000,304294,LG이노텍
2022.03.14,339500,11500,350000,351000,333000,501686,LG이노텍
2022.03.11,351000,2000,352500,356500,345500,276636,LG이노텍
2022.03.10,353000,7000,356000,359500,350000,382742,LG이노텍
2022.03.08,346000,7500,333500,356000,333000,566024,LG이노텍
2022.03.22,252000,1000,251000,254500,250000,18380,LG화학우
2022.03.21,251000,500,255000,255000,249000,23289,LG화학우
2022.03.18,250500,3000,255000,257500,250500,44397,LG화학우
2022.03.17,253500,12500,247000,254500,245500,25356,LG화학우
2022.03.16,241000,0,243000,244500,239500,24407,LG화학우
2022.03.15,241000,7000,246000,248000,240000,30618,LG화학우
2022.03.14,248000,6500,254500,254500,246000,18864,LG화학우
2022.03.11,254500,3000,255500,256500,248500,12852,LG화학우
2022.03.10,257500,7000,250500,258000,248500,22630,LG화학우
2022.03.08,250500,5000,252000,257500,250000,12458,LG화학우
2022.03.22,492000,2000,496500,497000,487500,221981,LG화학
2022.03.21,490000,1500,493000,496500,483000,317216,LG화학
2022.03.18,488500,18500,480000,491500,473000,559378,LG화학
2022.03.17,470000,28000,453500,475000,453500,911878,LG화학
2022.03.16,442000,3000,446000,446500,437000,425454,LG화학
2022.03.15,439000,18000,447500,451000,438500,678296,LG화학
2022.03.14,457000,15000,465000,472000,454000,617168,LG화학
2022.03.11,472000,24500,496000,499500,469500,713668,LG화학
2022.03.10,496500,6500,498000,521000,493500,743086,LG화학
2022.03.08,503000,11000,501000,513000,498000,289591,LG화학
2022.03.22,339500,500,340000,341000,336000,300199,NAVER
2022.03.21,339000,5500,347500,347500,336000,398441,NAVER
2022.03.18,344500,0,345000,346500,341500,722326,NAVER
2022.03.17,344500,14000,337500,348000,337500,1070200,NAVER
2022.03.16,330500,3000,333500,334000,324000,584708,NAVER
2022.03.15,327500,1500,328500,335000,326000,627012,NAVER
2022.03.14,329000,0,328500,338000,325000,679812,NAVER
2022.03.11,329000,1500,330000,332000,323000,737003,NAVER
2022.03.10,330500,26000,319000,337000,316000,1521280,NAVER
2022.03.08,304500,2500,302000,309500,301500,559921,NAVER
2022.03.22,5000,40,4965,5080,4865,177224,NI스틸
2022.03.21,4960,40,4895,5090,4830,348686,NI스틸
2022.03.18,4920,150,5100,5230,4800,1131715,NI스틸
2022.03.17,4770,130,4665,4790,4620,286291,NI스틸
2022.03.16,4640,40,4770,4775,4610,164597,NI스틸
2022.03.15,4680,130,4790,4825,4615,248244,NI스틸
2022.03.14,4810,275,4540,4895,4505,744403,NI스틸
2022.03.11,4535,20,4460,4585,4455,80268,NI스틸
2022.03.10,4515,80,4550,4560,4410,124921,NI스틸
2022.03.08,4595,120,4685,4685,4370,381366,NI스틸
2022.03.22,111500,2000,110500,112000,110000,126709,OCI
2022.03.21,109500,3000,113000,114000,109000,199814,OCI
2022.03.18,112500,4000,110000,114000,109000,281499,OCI
2022.03.17,108500,1000,110000,113500,108000,253155,OCI
2022.03.16,107500,500,108500,109000,106000,193162,OCI
2022.03.15,108000,5500,112500,113000,107000,339515,OCI
2022.03.14,113500,1500,112000,116500,110500,495362,OCI
2022.03.11,112000,5000,106000,113000,105000,447734,OCI
2022.03.10,107000,1000,106500,108000,101000,494842,OCI
2022.03.08,106000,3500,110500,110500,104500,441835,OCI
2022.03.22,54000,600,54200,54300,53700,5073,S-Oil우
2022.03.21,53400,1300,53200,53800,52600,11585,S-Oil우
2022.03.18,52100,600,52000,52700,51800,19703,S-Oil우
2022.03.17,51500,300,51300,51900,51100,6707,S-Oil우
2022.03.16,51200,1350,49450,51300,49450,10360,S-Oil우
2022.03.15,49850,1150,51400,51400,49850,11931,S-Oil우
