jongmok_cd,jongmok_nm,deal_dt,buy_amount,sell_amount,forgn_amount,급등률,종가,거래량,_merge
001045,CJ우,2021-05-10,24510.0,23146.0,2374.0,,,,left_only
001680,대상,2021-05-10,1578196.0,1296946.0,168583.0,,,,left_only
001725,신영증권우,2021-05-10,33825.0,34364.0,1374.0,,,,left_only
002030,아세아,2021-05-10,14260.0,14176.0,1728.0,,,,left_only
003000,부광약품,2021-05-10,2024798.0,2120546.0,220164.0,,,,left_only
010820,퍼스텍,2021-05-10,2219325.0,1775101.0,515349.0,,,,left_only
011040,경동제약,2021-05-10,370124.0,296970.0,22541.0,,,,left_only
012330,현대모비스,2021-05-10,747454.0,982266.0,-482819.0,,,,left_only
029960,코엔텍,2021-05-10,947143.0,752289.0,341738.0,,,,left_only
032940,원익,2021-05-10,186177.0,176835.0,40370.0,,,,left_only
041520,이라이콤,2021-05-10,114612.0,101874.0,24050.0,,,,left_only
048430,유라테크,2021-05-10,421321.0,377981.0,20539.0,,,,left_only
052220,iMBC,2021-05-10,729442.0,516724.0,158189.0,,,,left_only
054950,제이브이엠,2021-05-10,255286.0,210743.0,-6056.0,,,,left_only
061970,엘비세미콘,2021-05-10,1520500.0,1831125.0,62098.0,,,,left_only
064550,바이오니아,2021-05-10,7452523.0,7338594.0,-22622.0,,,,left_only
064960,SNT모티브,2021-05-10,228785.0,190392.0,-24057.0,,,,left_only
065350,신성델타테크,2021-05-10,1460370.0,1385305.0,18174.0,,,,left_only
067160,아프리카TV,2021-05-10,627388.0,545903.0,203852.0,,,,left_only
068240,다원시스,2021-05-10,844429.0,865881.0,601797.0,,,,left_only
073110,엘엠에스,2021-05-10,96622.0,79504.0,5498.0,,,,left_only
093050,LF,2021-05-10,484509.0,391876.0,79079.0,,,,left_only
096690,에이루트,2021-05-10,931968.0,819202.0,111554.0,,,,left_only
148150,세경하이테크,2021-05-10,179199.0,190971.0,-11155.0,,,,left_only
166480,코아스템,2021-05-10,192834.0,181867.0,6921.0,,,,left_only
216080,제테마,2021-05-10,1092762.0,1079289.0,48338.0,621.58,39050.0,857429.0,both
221980,케이디켐,2021-05-10,52470.0,53746.0,11509.0,,,,left_only
248070,솔루엠,2021-05-10,1346531.0,1533789.0,-32916.0,,,,left_only
251970,펌텍코리아,2021-05-10,320246.0,280501.0,25031.0,,,,left_only
264660,씨앤지하이테크,2021-05-10,122758.0,94945.0,-2199.0,,,,left_only
264850,이랜시스,2021-05-10,4200246.0,3969989.0,94664.0,,,,left_only
,솔루스첨단소재1우,,,,,6495.21,18450.0,480421.0,right_only
,솔루스첨단소재2우B,,,,,4650.25,31150.0,80458.0,right_only
,KPX홀딩스,,,,,3801.35,80000.0,168880.0,right_only
,한국파마,,,,,2609.08,52600.0,1487268.0,right_only
,동원시스템즈우,,,,,1460.75,44100.0,43203.0,right_only
,대덕전자1우,,,,,1388.35,15850.0,819047.0,right_only
,휴온스글로벌,,,,,1109.89,70000.0,3429167.0,right_only
,신풍제약,,,,,1088.46,75100.0,8221040.0,right_only
,HDC,,,,,940.76,14600.0,5214010.0,right_only
,한국유니온제약,,,,,835.38,17000.0,1162588.0,right_only
,셀리드,,,,,395.5,82400.0,3240765.0,right_only
,유바이오로직스,,,,,315.48,46100.0,11560178.0,right_only
