jongmok_cd,jongmok_nm,deal_dt,buy_amount,sell_amount,forgn_amount,forgn_poss_rt,end_price,급등률,종가,거래량,외국인비율,_merge
001529,동양3우B,2021-05-13,95088.0,87986.0,-900.0,0.0,0.0,,,,,left_only
202960,판도라티비,2021-05-13,37185.0,35011.0,3082.0,0.0,0.0,,,,,left_only
217910,에스제이켐,2021-05-13,40403.0,40102.0,31.0,0.0,0.0,,,,,left_only
343090,단디바이오,2021-05-13,41897.0,35878.0,-6070.0,0.0,0.0,,,,,left_only
006370,대구백화점,2021-05-13,52253.0,47582.0,1277.0,0.67,11100.0,,,,,left_only
054630,에이디칩스,2021-05-13,8257223.0,7874463.0,-66970.0,0.7,1525.0,,,,,left_only
068050,팬엔터테인먼트,2021-05-13,1373952.0,1323357.0,-60649.0,1.36,6320.0,,,,,left_only
189300,인텔리안테크,2021-05-13,201643.0,173378.0,15800.0,1.42,56700.0,,,,,left_only
036090,위지트,2021-05-13,7150587.0,7060385.0,225635.0,1.46,1590.0,,,,,left_only
196300,애니젠,2021-05-13,175298.0,155210.0,38194.0,1.83,15350.0,,,,,left_only
021080,에이티넘인베스트,2021-05-13,64981180.0,63014242.0,-158747.0,2.32,6140.0,,,,,left_only
067900,와이엔텍,2021-05-13,344757.0,291951.0,-29754.0,2.43,16400.0,,,,,left_only
001510,SK증권,2021-05-13,38818844.0,37187875.0,-621571.0,5.09,1010.0,,,,,left_only
050860,아세아텍,2021-05-13,1335624.0,1152743.0,-125617.0,5.09,3735.0,,,,,left_only
104460,디와이피엔에프,2021-05-13,155798.0,132544.0,3192.0,5.38,27400.0,,,,,left_only
160980,싸이맥스,2021-05-13,505082.0,382535.0,-2004.0,5.85,23150.0,,,,,left_only
298000,효성화학,2021-05-13,220578.0,196169.0,26208.0,10.07,382500.0,,,,,left_only
178920,PI첨단소재,2021-05-13,500592.0,426418.0,120833.0,13.78,46000.0,,,,,left_only
272290,이녹스첨단소재,2021-05-13,330166.0,248523.0,-20484.0,13.92,51600.0,,,,,left_only
140860,파크시스템스,2021-05-13,67230.0,60696.0,18753.0,20.46,135000.0,,,,,left_only
084370,유진테크,2021-05-13,586003.0,395583.0,29570.0,20.66,44450.0,,,,,left_only
100120,뷰웍스,2021-05-13,143877.0,113641.0,28440.0,34.05,38000.0,,,,,left_only
090430,아모레퍼시픽,2021-05-13,638475.0,505286.0,107744.0,34.07,290000.0,,,,,left_only
099190,아이센스,2021-05-13,344859.0,245622.0,39536.0,36.5,26350.0,,,,,left_only
030190,NICE평가정보,2021-05-13,468594.0,447337.0,-98310.0,39.75,22850.0,,,,,left_only
014680,한솔케미칼,2021-05-13,149113.0,109487.0,-31865.0,40.39,232000.0,,,,,left_only
036570,엔씨소프트,2021-05-13,291733.0,237749.0,89541.0,52.49,841000.0,,,,,left_only
,푸른저축은행,,,,,,,5929.89,20100.0,7454876.0,0.94,right_only
,에너토크,,,,,,,1283.62,14600.0,8327381.0,18.68,right_only
,캐리소프트,,,,,,,353.89,19400.0,2134285.0,0.29,right_only
