DTM,전일종가,만기월,틱크기,금일시가,계약단위,틱가치,금일변동,결제방식,티커,52주변동폭,결제일,포인트가치,1년변동률,최종롤오버일,개월
2022-03-12 09:22:44,98.504,2022년 3월,0.01,98.48,"1,000 x 물가지수",10,98.25 - 99.155,실물인수도,DX,89.515 - 99.425,2022/03/16,1 = $1000,7.33%,2021/12/12,HMUZ
2022-03-12 09:22:38,98.504,2022년 3월,0.01,98.48,"1,000 x 물가지수",10,98.25 - 99.155,실물인수도,DX,89.515 - 99.425,2022/03/16,1 = $1000,7.33%,2021/12/12,HMUZ
2022-03-12 09:22:32,98.504,2022년 3월,0.01,98.48,"1,000 x 물가지수",10,98.25 - 99.155,실물인수도,DX,89.515 - 99.425,2022/03/16,1 = $1000,7.33%,2021/12/12,HMUZ
2022-03-12 09:22:26,98.504,2022년 3월,0.01,98.48,"1,000 x 물가지수",10,98.25 - 99.155,실물인수도,DX,89.515 - 99.425,2022/03/16,1 = $1000,7.33%,2021/12/12,HMUZ
2022-03-12 09:22:20,98.504,2022년 3월,0.01,98.48,"1,000 x 물가지수",10,98.25 - 99.155,실물인수도,DX,89.515 - 99.425,2022/03/16,1 = $1000,7.33%,2021/12/12,HMUZ
2022-03-12 09:22:13,98.504,2022년 3월,0.01,98.48,"1,000 x 물가지수",10,98.25 - 99.155,실물인수도,DX,89.515 - 99.425,2022/03/16,1 = $1000,7.33%,2021/12/12,HMUZ
2022-03-12 09:22:07,98.504,2022년 3월,0.01,98.48,"1,000 x 물가지수",10,98.25 - 99.155,실물인수도,DX,89.515 - 99.425,2022/03/16,1 = $1000,7.33%,2021/12/12,HMUZ
2022-03-12 09:22:01,98.504,2022년 3월,0.01,98.48,"1,000 x 물가지수",10,98.25 - 99.155,실물인수도,DX,89.515 - 99.425,2022/03/16,1 = $1000,7.33%,2021/12/12,HMUZ
2022-03-12 09:21:55,98.504,2022년 3월,0.01,98.48,"1,000 x 물가지수",10,98.25 - 99.155,실물인수도,DX,89.515 - 99.425,2022/03/16,1 = $1000,7.33%,2021/12/12,HMUZ
2022-03-12 09:21:48,98.504,2022년 3월,0.01,98.48,"1,000 x 물가지수",10,98.25 - 99.155,실물인수도,DX,89.515 - 99.425,2022/03/16,1 = $1000,7.33%,2021/12/12,HMUZ
2022-03-12 09:21:30,98.504,2022년 3월,0.01,98.48,"1,000 x 물가지수",10,98.25 - 99.155,실물인수도,DX,89.515 - 99.425,2022/03/16,1 = $1000,7.33%,2021/12/12,HMUZ
2022-03-12 09:20:32,98.504,2022년 3월,0.01,98.48,"1,000 x 물가지수",10,98.25 - 99.155,실물인수도,DX,89.515 - 99.425,2022/03/16,1 = $1000,7.33%,2021/12/12,HMUZ
