,0,1,2,3
0,BUY,27700,36,0
1,END,27700,36,0
2,SELL,27705,36,997380
3,BUY,27695,36,0
4,SELL,28030,36,1009440
5,BUY,28025,35,0
6,SELL,28370,35,1021515
7,BUY,28380,35,0
8,END,28380,35,1021515
9,SELL,28385,35,993475
10,BUY,28390,71,0
11,END,28390,71,993475
12,SELL,28400,71,2016400
13,BUY,28390,106,0
14,SELL,28735,106,2052970
15,BUY,28740,104,0
16,END,28740,104,2052970
17,SELL,28745,104,2989480
18,BUY,28745,176,0
19,SELL,29095,176,3051080
20,BUY,29105,174,0
21,END,29105,174,3051080
22,SELL,29115,174,5066010
23,BUY,29105,278,0
24,END,29105,278,5066010
25,SELL,29115,278,8093970
26,BUY,29105,453,0
27,END,29105,453,8093970
28,SELL,29115,453,13189095
29,BUY,29125,730,0
30,SELL,29480,730,13448245
31,BUY,29480,721,0
32,END,29480,721,13448245
33,SELL,29490,721,21262290
34,BUY,29490,1177,0
35,END,29490,1177,21262290
36,SELL,29495,1177,34715615
37,BUY,29485,1898,0
38,END,29485,1898,34715615
39,SELL,29495,1898,55981510
40,BUY,29505,3074,0
41,SELL,29860,3074,57072780
42,BUY,29855,3038,0
43,SELL,30220,3038,58181650
44,BUY,30210,3002,0
45,END,30210,3002,58181650
46,SELL,30215,3002,90705430
47,BUY,30225,4925,0
48,END,30225,4925,90705430
49,SELL,30235,4925,148907375
50,BUY,30230,7925,0
51,END,30230,7925,148907375
52,SELL,30240,7925,239652000
53,BUY,30245,12845,0
54,END,30245,12845,239652000
55,SELL,30250,12845,388561250
56,BUY,30260,20758,0
57,SELL,30630,20758,396241710
58,BUY,30640,20501,0
59,SELL,31010,20501,403827080
60,BUY,31020,20249,0
61,END,31020,20249,403827080
62,SELL,31025,20249,628225225
63,BUY,31015,33273,0
64,END,31015,33273,628225225
65,SELL,31020,33273,1032128460
66,BUY,31020,53520,0
67,SELL,31395,53520,1052198460
68,BUY,31405,52864,0
69,END,31405,52864,1052198460
70,SELL,31415,52864,1660722560
71,BUY,31415,86340,0
72,SELL,31795,86340,1693531760
73,BUY,31790,85322,0
74,SELL,32175,85322,1726380730
75,BUY,32170,84314,0
76,END,32170,84314,1726380730
77,SELL,32175,84314,2712802950
78,BUY,32165,138000,0
79,SELL,32555,138000,2766622950
80,BUY,32555,136347,0
81,END,32555,136347,2766622950
82,SELL,32560,136347,4439458320
83,BUY,32560,221296,0
84,END,32560,221296,4439458320
85,SELL,32565,221296,7206504240
86,BUY,32570,357533,0
87,SELL,32965,357533,7347729775
88,BUY,32960,353302,0
89,END,32960,353302,7347729775
90,SELL,32970,353302,11648366940
91,BUY,32970,576056,0
92,END,32970,576056,11648366940
93,SELL,32980,576056,18998326880
94,BUY,32985,928936,0
95,END,32985,928936,18998326880
96,SELL,32990,928936,30645598640
97,BUY,32980,1505133,0
98,END,32980,1505133,30645598640
99,SELL,32990,1505133,49654337670
100,BUY,32980,2434350,0
101,SELL,33385,2434350,50640249420
102,BUY,33375,2405539,0
103,SELL,33780,2405539,51614492715
104,BUY,33775,2377050,0
105,SELL,34185,2377050,52589083215
106,BUY,34175,2349228,0
107,END,34175,2349228,52589083215
108,SELL,34185,2349228,80308359180
109,BUY,34185,3886908,0
110,SELL,34600,3886908,81921426000
111,BUY,34610,3839178,0
112,SELL,35030,3839178,83533880760
113,BUY,35025,3793689,0
114,END,35025,3793689,83533880760
115,SELL,35035,3793689,132911894115
116,BUY,35025,6178668,0
117,SELL,35450,6178668,135537828015
118,BUY,35460,6102872,0
119,END,35460,6102872,135537828015
120,SELL,35470,6102872,216468869840
121,BUY,35460,9925146,0
122,END,35460,9925146,216468869840
123,SELL,35470,9925146,352044928620
124,BUY,35480,16020703,0
125,END,35480,16020703,352044928620
126,SELL,35485,16020703,568494645955
127,BUY,35475,25946708,0
128,END,35475,25946708,568494645955
129,SELL,35485,25946708,920718933380
130,BUY,35475,41971927,0
131,END,35475,41971927,920718933380
132,SELL,35480,41971927,1489163969960
133,BUY,35490,67897240,0
134,END,35490,67897240,1489163969960
135,SELL,35500,67897240,2410352020000
136,BUY,35505,109810928,0
137,SELL,35940,109810928,2458119773680
138,BUY,35930,108512024,0
139,END,35930,108512024,2458119773680
140,SELL,35940,108512024,3899922142560
141,BUY,35935,176901538,0
142,END,35935,176901538,3899922142560
143,SELL,35945,176901538,6358725783410
144,BUY,35955,285269891,0
145,END,35955,285269891,6358725783410
146,SELL,35965,285269891,10259731629815
147,BUY,35965,461993736,0
148,END,35965,461993736,10259731629815
149,SELL,35975,461993736,16620224652600
150,BUY,35965,747263627,0
151,END,35965,747263627,16620224652600
152,SELL,35970,747263627,26879072663190
153,BUY,35975,1209049645,0
154,END,35975,1209049645,26879072663190
155,SELL,35980,1209049645,43501606227100
156,BUY,35990,1955394100,0
157,END,35990,1955394100,43501606227100
158,SELL,35995,1955394100,70384410629500
159,BUY,36005,3162789609,0
160,END,36005,3162789609,70384410629500
161,SELL,36015,3162789609,113907867768135
162,BUY,36020,5115509453,0
163,END,36020,5115509453,113907867768135
164,SELL,36025,5115509453,184286228044325
165,BUY,36030,8275562539,0
166,END,36030,8275562539,184286228044325
167,SELL,36040,8275562539,298251273905560
168,BUY,36035,13388504130,0
169,END,36035,13388504130,298251273905560
170,SELL,36045,13388504130,482588631365850
171,BUY,36045,21659204334,0
172,END,36045,21659204334,482588631365850
173,SELL,36050,21659204334,780814316240700
174,BUY,36045,35047708464,0
175,END,36045,35047708464,780814316240700
176,SELL,36050,35047708464,1263469890127200
177,BUY,36040,56717784901,0
178,END,36040,56717784901,1263469890127200
