코드,종목명,종가,거래량,52주신고가,52주신저가,사분위75%,사분위50%,사분위25%,외국인지분율,매출액_년도,매출액_분기,영업이익_년도,영업이익_분기,당기순이익_년도,당기순이익_분기,영업이익률_년도,영업이익률_분기,순이익률_년도,순이익률_분기,ROE(지배주주)_년도,ROE(지배주주)_분기,부채비율_년도,부채비율_분기,당좌비율_년도,당좌비율_분기,유보율_년도,유보율_분기,EPS(원)_년도,EPS(원)_분기,PER(배)_년도,PER(배)_분기,BPS(원)_년도,BPS(원)_분기,PBR(배)_년도,PBR(배)_분기,주당배당금(원)_년도,주당배당금(원)_분기,시가배당률(%)_년도,시가배당률(%)_분기,배당성향(%)_년도,배당성향(%)_분기,TARGET_TF_ROE,TARGET_TF_FRGN,HIGH_VS_RT,LOW_VS_RT,75_VS_RT,50_VS_RT,25_VS_RT,PER_MEDIAN,PBR_MEDIAN
282330,BGF리테일,185500,23723,204000,136500,187125.0,170250.0,153375.0,31.24,"[59461, 61813, 67812, 74612]","[15012, 17004, 18366, 17430, 16922, 18673]","[1966, 1622, 1994, 2577]","[216, 586, 695, 497, 378, 740]","[1514, 1227, 1476, 1923]","[159, 468, 493, 357, 260, 549]","[3, 2, 2, 3]","[1, 3, 3, 2, 2, 3]","[2, 1, 2, 2]","[1, 2, 2, 2, 1, 2]","[26, 18, 19, 21]","[20, 20, 19, 19, 21]","[248, 240, 220]","[260, 256, 237, 220, 242]","[68, 70, 68]","[67, 50, 68, 68, 61]","[3372, 3803, 4439]","[3654, 3924, 4208, 4439, 4288]","[8758, 7100, 8542, 11076]","[918, 2707, 2853, 2064, 1504, 3209]","[19, 19, 17, 16]","[21, 22, 21, 17, 19, 57]","[36040, 40337, 46849, 54967]","[38849, 41549, 44396, 46849, 45300]","[4, 3, 3, 3]","[4, 4, 3, 3, 3]","[2700, 2400, 3000, 3085]",[],"[1, 1, 2]",[],"[30, 33, 35]",[],T,T,90.93,135.9,99.13,108.96,120.95,18.0,3.0
000990,DB하이텍,69400,378716,85400,49200,76350.0,67300.0,58250.0,24.08,"[8074, 9359, 12147, 16824]","[2437, 2747, 3284, 3679, 3950, 4172]","[1813, 2393, 3991, 7407]","[606, 814, 1190, 1381, 1815, 1891]","[1046, 1660, 3169, 5924]","[478, 590, 927, 1174, 1587, 1612]","[22, 25, 32, 44]","[24, 29, 36, 37, 45, 45]","[12, 17, 26, 35]","[19, 21, 28, 31, 40, 38]","[17, 23, 33, 43]","[20, 20, 24, 33, 41]","[68, 48, 40]","[44, 40, 38, 40, 35]","[137, 90, 137]","[104, 117, 217, 137, 208]","[226, 293, 431]","[308, 334, 376, 431, 493]","[2351, 3730, 7119, 13674]","[1074, 1326, 2082, 2637, 3565, 3421]","[11, 13, 10, 5]","[15, 16, 11, 10, 7, 20]","[14844, 18294, 25449, 38958]","[19062, 20425, 22563, 25449, 28651]","[1, 2, 2, 1]","[2, 3, 2, 2, 2]","[350, 350, 450, 500]",[],"[1, 0, 0]",[],"[14, 9, 6]",[],T,T,81.26,141.06,90.9,103.11999999999999,119.14,10.5,1.5
383220,F&F,141000,97864,199600,84400,170800.0,142000.0,113200.0,13.64,"[10892, 18947]","[1971, 3289, 5632, 4371, 3632]","[3227, 5624]","[432, 957, 1837, 1346, 913]","[2319, 4158]","[318, 711, 1291, 964, 646]","[29, 29]","[21, 29, 32, 30, 25]","[21, 21]","[16, 21, 22, 22, 17]",[58],[],[109],"[83, 176, 109, 112]",[25],"[106, 21, 25, 35]",[14254],"[9190, 11022, 14254, 15680]","[9094, 10814]","[1279, 1856, 3369, 2518, 1848]","[20, 13]","[15, 76]","[14307, 22612]","[9217, 11072, 14307, 15642]","[13, 6]","[12, 12, 13, 9]","[1100, 917]",[],[0],[],[18],[],T,T,70.64,167.06,82.55,99.3,124.56,16.5,9.5
051905,LG생활건강우,407500,1737,807000,397500,704625.0,602250.0,499875.0,82.23,"[76854, 78445, 80915, 74887]","[20367, 20214, 20103, 20231, 16450, 17454]","[11764, 12209, 12896, 8910]","[3706, 3358, 3423, 2410, 1756, 2102]","[7882, 8131, 8611, 5791]","[2588, 2264, 2395, 1364, 1138, 1459]","[15, 15, 15, 11]","[18, 16, 17, 11, 10, 12]","[10, 10, 10, 7]","[12, 11, 11, 6, 6, 8]","[20, 17, 16, 10]","[18, 17, 17, 16, 13]","[53, 40, 37]","[42, 36, 38, 37, 37]","[79, 79, 96]","[83, 90, 89, 96, 91]","[4822, 5534, 6300]","[5613, 5863, 6128, 6300, 6196]","[43916, 45018, 47665, 31975]","[14390, 12518, 13247, 7510, 6184, 7598]","[28, 35, 23, 22]","[33, 36, 27, 23, 21, 93]","[247477, 283837, 321556, 344026]","[288600, 302018, 311200, 321556, 315810]","[5, 5, 3, 2]","[5, 5, 4, 3, 2]","[11050, 11050, 12050, 11442]",[],"[1, 1, 1]",[],"[23, 23, 23]",[],T,T,50.5,102.51999999999998,57.830000000000005,67.66,81.52000000000001,25.5,4.0
051900,LG생활건강,713000,48144,1784000,657000,1502250.0,1220500.0,938750.0,37.43,"[76854, 78445, 80915, 74887]","[20367, 20214, 20103, 20231, 16450, 17454]","[11764, 12209, 12896, 8910]","[3706, 3358, 3423, 2410, 1756, 2102]","[7882, 8131, 8611, 5791]","[2588, 2264, 2395, 1364, 1138, 1459]","[15, 15, 15, 11]","[18, 16, 17, 11, 10, 12]","[10, 10, 10, 7]","[12, 11, 11, 6, 6, 8]","[20, 17, 16, 10]","[18, 17, 17, 16, 13]","[53, 40, 37]","[42, 36, 38, 37, 37]","[79, 79, 96]","[83, 90, 89, 96, 91]","[4822, 5534, 6300]","[5613, 5863, 6128, 6300, 6196]","[43916, 45018, 47665, 31975]","[14390, 12518, 13247, 7510, 6184, 7598]","[28, 35, 23, 22]","[33, 36, 27, 23, 21, 93]","[247477, 283837, 321556, 344026]","[288600, 302018, 311200, 321556, 315810]","[5, 5, 3, 2]","[5, 5, 4, 3, 2]","[11000, 11000, 12000, 11442]",[],"[0, 0, 1]",[],"[23, 23, 23]",[],T,T,39.97,108.52,47.46,58.42,75.94999999999999,25.5,4.0
011070,LG이노텍,371000,204712,414500,181000,356125.0,297750.0,239375.0,25.4,"[79754, 95418, 149456, 168981]","[30703, 23547, 37976, 57231, 39517, 29937]","[4764, 6810, 12642, 14927]","[3468, 1519, 3357, 4298, 3671, 2018]","[1023, 2361, 8883, 10480]","[2514, 1473, 2271, 2625, 2675, 1359]","[5, 7, 8, 8]","[11, 6, 8, 7, 9, 6]","[1, 2, 5, 6]","[8, 6, 5, 4, 6, 4]","[4, 10, 30, 27]","[16, 21, 27, 30, 28]","[161, 148, 133]","[144, 130, 167, 133, 129]","[99, 84, 80]","[91, 84, 73, 80, 87]","[1793, 1990, 2688]","[2196, 2321, 2517, 2688, 2878]","[4323, 9977, 37532, 44280]","[10623, 6223, 9596, 11090, 11304, 6545]","[32, 18, 9, 8]","[11, 9, 6, 9, 10, 56]","[93161, 102588, 140050, 181255]","[113759, 120191, 131240, 140050, 150233]","[1, 1, 2, 2]","[1, 1, 1, 2, 2]","[300, 700, 3000, 3134]",[],"[0, 0, 0]",[],"[6, 7, 7]",[],T,T,89.51,204.97,104.18,124.6,154.99,13.5,1.5
001120,LX인터내셔널,39200,249703,42500,22300,37450.0,32400.0,27350.0,24.71,"[105309, 112826, 166865, 182939]","[36852, 39560, 44948, 45506, 49181, 47867]","[1348, 1598, 6562, 7566]","[1133, 1258, 2096, 2076, 2457, 2232]","[-149, 3616, 5403, 6369]","[978, 1110, 1782, 1533, 2231, 1736]","[1, 1, 3, 4]","[3, 3, 4, 4, 5, 4]","[0, 3, 3, 3]","[2, 2, 3, 3, 4, 3]","[2, 23, 22, 21]","[7, 11, 17, 22, 26]","[214, 206, 182]","[223, 223, 208, 182, 199]","[89, 98, 95]","[91, 83, 89, 95, 102]","[515, 664, 837]","[688, 728, 790, 837, 874]","[737, 7678, 9032, 10964]","[1577, 1967, 3110, 2378, 3982, 3380]","[20, 3, 2, 3]","[12, 6, 4, 2, 3, 11]","[30303, 37205, 49349, 60072]","[39451, 41572, 46461, 49349, 52317]","[0, 0, 0, 0]","[0, 0, 0, 0, 0]","[300, 400, 2300, 2414]",[],"[1, 1, 8]",[],"[40, 4, 23]",[],T,T,92.24,175.78,104.67,120.99,143.33,3.0,0.0
035420,NAVER,270000,445441,465000,262500,414375.0,363750.0,313125.0,53.61,"[43562, 53041, 68176, 83125]","[14991, 16635, 17273, 19277, 18452, 20396]","[11550, 12153, 13255, 15170]","[2888, 3356, 3498, 3512, 3018, 3780]","[3968, 8450, 164776, 13925]","[153145, 5406, 3227, 2998, 1514, 3871]","[26, 22, 19, 18]","[19, 20, 20, 18, 16, 18]","[9, 15, 241, 16]","[1021, 32, 18, 15, 8, 18]","[10, 15, 106, 5]","[112, 111, 109, 106, 5]","[89, 106, 40]","[35, 36, 36, 40, 42]","[146, 37, 128]","[119, 109, 97, 128, 118]","[44216, 51258, 149081]","[140890, 144908, 147527, 149081, 149527]","[3538, 6097, 100400, 8754]","[93207, 3212, 2021, 1948, 1043, 2536]","[52, 47, 3, 30]","[3, 4, 3, 3, 41, 106]","[39913, 49961, 157641, 166777]","[148906, 153268, 158995, 157641, 154175]","[4, 5, 2, 1]","[2, 2, 2, 2, 2]","[376, 402, 511, 500]",[],"[0, 0, 0]",[],"[9, 5, 0]",[],T,T,58.06,102.86,65.16,74.22999999999999,86.22999999999999,38.5,3.0
010060,OCI,127500,1165332,169000,84100,147775.0,126550.0,105325.0,16.51,"[26051, 20025, 32440, 44922]","[5737, 7674, 8887, 10142, 10061, 11234]","[-1806, -861, 6260, 8355]","[470, 1663, 1946, 2180, 1620, 2172]","[-8074, -2512, 6521, 6547]","[398, 1453, 1776, 2894, 1342, 1395]","[19, 18]","[8, 21, 21, 21, 16, 19]","[20, 14]","[6, 18, 19, 28, 13, 12]","[23, 19]","[-6, 1, 7, 23, 26]",[82],"[88, 91, 83, 82, 80]",[139],"[144, 144, 156, 139, 120]",[2268],"[1790, 1903, 2043, 2268, 2336]","[-33308, -10321, 27156, 27363]","[1593, 6049, 7455, 12058, 5640, 7442]","[3, 4]","[-19, 96, 19, 3, 3, 17]","[110515, 98978, 128783, 152181]","[101649, 107705, 117183, 128783, 133351]","[0, 0]","[1, 1, 1, 0, 0]","[2000, 1867]",[],[1],[],[7],[],T,T,75.44,151.61,86.28,100.75,121.05,3.5,0.0
010950,S-Oil,110000,342268,117500,79200,107925.0,98350.0,88775.0,81.12,"[243942, 168297, 274639, 399911]","[53448, 67110, 71170, 82911, 92870, 105205]","[4201, -10991, 21409, 32551]","[6292, 5710, 5494, 3913, 13320, 7263]","[654, -7961, 13785, 22563]","[3447, 4107, 3345, 2885, 8708, 3936]","[1, 7, 8]","[11, 8, 7, 4, 14, 6]","[0, 5, 5]","[6, 6, 4, 3, 9, 3]","[1, 21, 28]","[7, 15, 19, 21, 28]","[151, 167]","[196, 179, 172, 167, 177]","[42, 56]","[49, 49, 43, 56, 53]","[2119, 2286]","[1959, 2100, 2174, 2286, 2484]","[561, -6827, 11822, 19350]","[2956, 3522, 2869, 2475, 7468, 4417]","[169, 7, 5]","[22, 13, 10, 7, 5, 24]","[55803, 48810, 60024, 74759]","[51771, 55299, 57173, 60024, 64704]","[1, 1, 1]","[1, 1, 1, 1, 1]","[200, 3800, 5657]",[],"[0, 4]",[],"[35, 32]",[],T,T,93.62,138.89000000000001,101.92000000000002,111.85000000000001,123.91000000000001,7.0,1.0
