코드,종목명,거래량,종가,52주신고가,52주신저가,사분위75%,사분위50%,사분위25%,신고가대비_종가비율,신저가대비_종가비율,사분위75%대비_종가비율,사분위50%대비_종가비율,사분위50%대비_종가비율,종가_중간값,20일중간값_종가비율,20일사분위25%,20일사분위25%_종가비율,종가흐름,외국인지분율,외국인지분율조건,외국인지분율_중간값,20일중간값_외국인비율,외국인보유흐름,ROE조건,ROE(지배주주)_년도,ROE(지배주주)_분기,영업이익_증가,당기순이익_증가,PER_중간값,PER(배)_년도,PER(배)_분기,PBR_중간값,PBR(배)_년도,PBR(배)_분기,매출액_년도,매출액_분기,영업이익_년도,영업이익_분기,당기순이익_년도,당기순이익_분기,영업이익률_년도,영업이익률_분기,순이익률_년도,순이익률_분기,주당배당금(원)_년도,주당배당금(원)_분기,시가배당률(%)_년도,시가배당률(%)_분기,배당성향(%)_년도,배당성향(%)_분기,부채비율_년도,부채비율_분기,당좌비율_년도,당좌비율_분기,유보율_년도,유보율_분기,EPS(원)_년도,EPS(원)_분기,BPS(원)_년도,BPS(원)_분기
A282330,BGF리테일,22598,183500,204000,136500,187125.0,170250.0,153375.0,89.95,134.43,98.06,119.64,119.64,188750,97.22,185250,99.06,"[187500.0, 187500.0, 187000.0, 187500.0, 192000.0, 195000.0, 196500.0, 203000.0, 193000.0, 187000.0, 184000.0, 186000.0, 184500.0, 184500.0, 194000.0, 188000.0, 185500.0, 185500.0, 183500.0, 183500.0]",31.2,T,31.14,100.19,"[30.7, 30.71, 30.74, 30.98, 31.07, 31.17, 31.1, 31.21, 31.22, 31.26, 31.26, 31.31, 31.32, 31.33, 31.33, 31.25, 31.24, 31.24, 31.2, 31.21]",T,"[26, 18, 19, 21]","[20, 20, 19, 19, 21]",F,F,18.0,"[19, 19, 17, 16]","[21, 22, 21, 17, 19, 57]",3.0,"[4, 3, 3, 3]","[4, 4, 3, 3, 3]","[59461, 61813, 67812, 74672]","[15012, 17004, 18366, 17430, 16922, 18673]","[1966, 1622, 1994, 2576]","[216, 586, 695, 497, 378, 740]","[1514, 1227, 1476, 1923]","[159, 468, 493, 357, 260, 549]","[3, 2, 2, 3]","[1, 3, 3, 2, 2, 3]","[2, 1, 2, 2]","[1, 2, 2, 2, 1, 2]","[2700, 2400, 3000, 3085]",[],"[1, 1, 2]",[],"[30, 33, 35]",[],"[248, 240, 220]","[260, 256, 237, 220, 242]","[68, 70, 68]","[67, 50, 68, 68, 61]","[3372, 3803, 4439]","[3654, 3924, 4208, 4439, 4288]","[8758, 7100, 8542, 11076]","[918, 2707, 2853, 2064, 1504, 3209]","[36040, 40337, 46849, 54967]","[38849, 41549, 44396, 46849, 45300]"
A000990,DB하이텍,380574,68600,85400,49200,76350.0,67300.0,58250.0,80.33,139.43,89.85,117.77,117.77,69760,98.34,68225,100.55,"[67900.0, 66200.0, 63700.0, 66500.0, 68000.0, 68300.0, 69400.0, 71300.0, 72400.0, 74200.0, 73600.0, 73500.0, 74200.0, 69800.0, 70200.0, 69400.0, 69400.0, 69900.0, 68700.0, 68600.0]",23.93,T,23.1,103.59,"[22.38, 22.05, 21.89, 21.98, 22.01, 22.22, 22.21, 22.39, 22.52, 23.15, 23.59, 23.81, 24.02, 23.92, 24.0, 24.08, 23.93, 23.86, 23.93, 24.0]",T,"[17, 23, 33, 43]","[20, 20, 24, 33, 41]",T,T,10.5,"[11, 13, 10, 5]","[15, 16, 11, 10, 7, 20]",1.5,"[1, 2, 2, 1]","[2, 3, 2, 2, 2]","[8074, 9359, 12147, 16824]","[2437, 2747, 3284, 3679, 3950, 4172]","[1813, 2393, 3991, 7407]","[606, 814, 1190, 1381, 1815, 1891]","[1046, 1660, 3169, 5924]","[478, 590, 927, 1174, 1587, 1612]","[22, 25, 32, 44]","[24, 29, 36, 37, 45, 45]","[12, 17, 26, 35]","[19, 21, 28, 31, 40, 38]","[350, 350, 450, 500]",[],"[1, 0, 0]",[],"[14, 9, 6]",[],"[68, 48, 40]","[44, 40, 38, 40, 35]","[137, 90, 137]","[104, 117, 217, 137, 208]","[226, 293, 431]","[308, 334, 376, 431, 493]","[2351, 3730, 7119, 13674]","[1074, 1326, 2082, 2637, 3565, 3421]","[14844, 18294, 25449, 38958]","[19062, 20425, 22563, 25449, 28651]"
A383220,F&F,110714,146500,199600,94600,173350.0,147100.0,120850.0,73.4,154.86,84.51,121.22,121.22,135150,108.4,130125,112.58,"[136000.0, 132000.0, 125000.0, 124500.0, 125000.0, 123000.0, 126000.0, 133000.0, 131500.0, 142000.0, 136000.0, 138000.0, 135500.0, 141000.0, 140000.0, 139500.0, 141000.0, 141500.0, 146000.0, 146500.0]",13.61,T,13.59,100.15,"[13.58, 13.65, 13.69, 13.71, 13.71, 13.62, 13.48, 13.37, 13.38, 13.49, 13.44, 13.51, 13.53, 13.77, 13.69, 13.64, 13.66, 13.6, 13.61, 13.6]",T,[58],[],F,F,16.5,"[20, 13]","[15, 79]",9.5,"[13, 6]","[12, 12, 13, 9]","[10892, 18947]","[1971, 3289, 5632, 4371, 3632]","[3227, 5624]","[432, 957, 1837, 1346, 913]","[2319, 4158]","[318, 711, 1291, 964, 646]","[29, 29]","[21, 29, 32, 30, 25]","[21, 21]","[16, 21, 22, 22, 17]","[1100, 917]",[],[0],[],[18],[],[109],"[83, 176, 109, 112]",[25],"[106, 21, 25, 35]",[14254],"[9190, 11022, 14254, 15680]","[9094, 10814]","[1279, 1856, 3369, 2518, 1848]","[14307, 22612]","[9217, 11072, 14307, 15642]"
A051905,LG생활건강우,4569,400500,807000,397500,704625.0,602250.0,499875.0,49.63,100.75,56.84,80.12,80.12,424150,94.42,407500,98.28,"[481000.0, 471500.0, 468000.0, 459000.0, 463000.0, 397500.0, 402500.0, 411500.0, 416000.0, 420000.0, 415000.0, 414500.0, 412000.0, 412000.0, 407500.0, 409000.0, 407500.0, 411500.0, 403500.0, 400500.0]",81.96,T,82.38,99.49,"[82.86, 82.79, 82.8, 82.74, 82.73, 82.29, 82.26, 82.26, 82.27, 82.36, 82.38, 82.34, 82.32, 82.34, 82.28, 82.26, 82.22, 82.21, 81.98, 81.83]",T,"[20, 17, 16, 10]","[18, 17, 17, 16, 13]",F,F,25.5,"[28, 35, 23, 22]","[33, 36, 27, 23, 21, 96]",4.0,"[5, 5, 3, 2]","[5, 5, 4, 3, 2]","[76854, 78445, 80915, 74887]","[20367, 20214, 20103, 20231, 16450, 17454]","[11764, 12209, 12896, 8910]","[3706, 3358, 3423, 2410, 1756, 2102]","[7882, 8131, 8611, 5791]","[2588, 2264, 2395, 1364, 1138, 1459]","[15, 15, 15, 11]","[18, 16, 17, 11, 10, 12]","[10, 10, 10, 7]","[12, 11, 11, 6, 6, 8]","[11050, 11050, 12050, 11442]",[],"[1, 1, 1]",[],"[23, 23, 23]",[],"[53, 40, 37]","[42, 36, 38, 37, 37]","[79, 79, 96]","[83, 90, 89, 96, 91]","[4822, 5534, 6300]","[5613, 5863, 6128, 6300, 6196]","[43916, 45018, 47665, 31975]","[14390, 12518, 13247, 7510, 6184, 7598]","[247477, 283837, 321556, 344026]","[288600, 302018, 311200, 321556, 315810]"
A051900,LG생활건강,56584,723000,1784000,657000,1502250.0,1220500.0,938750.0,40.53,110.05,48.13,77.02,77.02,729450,99.12,691750,104.52,"[845000.0, 825000.0, 800000.0, 807000.0, 811000.0, 691000.0, 694000.0, 692000.0, 684000.0, 677000.0, 668000.0, 685000.0, 703000.0, 705000.0, 708000.0, 704000.0, 713000.0, 720000.0, 734000.0, 723000.0]",37.42,T,37.86,98.84,"[39.66, 39.34, 39.13, 39.0, 39.04, 37.77, 37.62, 37.5, 37.36, 37.23, 37.24, 37.33, 37.14, 37.46, 37.27, 37.43, 37.43, 37.39, 37.42, 37.37]",T,"[20, 17, 16, 10]","[18, 17, 17, 16, 13]",F,F,25.5,"[28, 35, 23, 22]","[33, 36, 27, 23, 21, 96]",4.0,"[5, 5, 3, 2]","[5, 5, 4, 3, 2]","[76854, 78445, 80915, 74887]","[20367, 20214, 20103, 20231, 16450, 17454]","[11764, 12209, 12896, 8910]","[3706, 3358, 3423, 2410, 1756, 2102]","[7882, 8131, 8611, 5791]","[2588, 2264, 2395, 1364, 1138, 1459]","[15, 15, 15, 11]","[18, 16, 17, 11, 10, 12]","[10, 10, 10, 7]","[12, 11, 11, 6, 6, 8]","[11000, 11000, 12000, 11442]",[],"[0, 0, 1]",[],"[23, 23, 23]",[],"[53, 40, 37]","[42, 36, 38, 37, 37]","[79, 79, 96]","[83, 90, 89, 96, 91]","[4822, 5534, 6300]","[5613, 5863, 6128, 6300, 6196]","[43916, 45018, 47665, 31975]","[14390, 12518, 13247, 7510, 6184, 7598]","[247477, 283837, 321556, 344026]","[288600, 302018, 311200, 321556, 315810]"
A011070,LG이노텍,229516,389000,414500,181000,356125.0,297750.0,239375.0,93.85,214.92,109.23,162.51,162.51,353725,109.97,339625,114.54,"[343500.0, 336000.0, 332000.0, 338500.0, 341000.0, 328500.0, 335500.0, 340000.0, 343000.0, 352000.0, 340000.0, 345000.0, 367000.0, 357000.0, 379500.0, 373500.0, 371000.0, 377500.0, 385000.0, 389000.0]",25.73,T,25.13,102.39,"[25.07, 25.16, 25.22, 25.09, 24.89, 24.89, 24.9, 24.87, 24.82, 24.94, 24.74, 24.76, 24.94, 24.98, 25.38, 25.4, 25.33, 25.48, 25.73, 25.98]",T,"[4, 10, 30, 27]","[16, 21, 27, 30, 28]",F,F,13.5,"[32, 18, 9, 8]","[11, 9, 6, 9, 10, 58]",1.5,"[1, 1, 2, 2]","[1, 1, 1, 2, 2]","[79754, 95418, 149456, 168981]","[30703, 23547, 37976, 57231, 39517, 29937]","[4764, 6810, 12642, 14927]","[3468, 1519, 3357, 4298, 3671, 2018]","[1023, 2361, 8883, 10480]","[2514, 1473, 2271, 2625, 2675, 1359]","[5, 7, 8, 8]","[11, 6, 8, 7, 9, 6]","[1, 2, 5, 6]","[8, 6, 5, 4, 6, 4]","[300, 700, 3000, 3134]",[],"[0, 0, 0]",[],"[6, 7, 7]",[],"[161, 148, 133]","[144, 130, 167, 133, 129]","[99, 84, 80]","[91, 84, 73, 80, 87]","[1793, 1990, 2688]","[2196, 2321, 2517, 2688, 2878]","[4323, 9977, 37532, 44280]","[10623, 6223, 9596, 11090, 11304, 6545]","[93161, 102588, 140050, 181255]","[113759, 120191, 131240, 140050, 150233]"
A001120,LX인터내셔널,210177,38400,42500,22300,37450.0,32400.0,27350.0,90.35,172.2,102.54,140.4,140.4,38220,100.47,37737,101.76,"[38900.0, 40050.0, 39250.0, 37250.0, 37350.0, 37900.0, 37850.0, 38300.0, 38850.0, 38250.0, 37500.0, 37800.0, 37550.0, 37550.0, 37900.0, 38500.0, 39200.0, 38000.0, 38050.0, 38400.0]",24.8,T,24.31,102.02,"[24.3, 24.32, 23.99, 23.82, 24.12, 24.09, 24.03, 24.16, 24.13, 24.0, 24.12, 24.22, 24.17, 24.28, 24.38, 24.71, 24.82, 24.72, 24.8, 24.97]",T,"[2, 23, 22, 22]","[7, 11, 17, 22, 26]",F,F,3.0,"[20, 3, 2, 3]","[12, 6, 4, 2, 3, 11]",0.0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]","[105309, 112826, 166865, 183912]","[36852, 39560, 44948, 45506, 49181, 48791]","[1348, 1598, 6562, 7600]","[1133, 1258, 2096, 2076, 2457, 2315]","[-149, 3616, 5403, 6494]","[978, 1110, 1782, 1533, 2231, 2022]","[1, 1, 3, 4]","[3, 3, 4, 4, 5, 4]","[0, 3, 3, 3]","[2, 2, 3, 3, 4, 4]","[300, 400, 2300, 2433]",[],"[1, 1, 8]",[],"[40, 4, 23]",[],"[214, 206, 182]","[223, 223, 208, 182, 199]","[89, 98, 95]","[91, 83, 89, 95, 102]","[515, 664, 837]","[688, 728, 790, 837, 874]","[737, 7678, 9032, 11243]","[1577, 1967, 3110, 2378, 3982, 3380]","[30303, 37205, 49349, 60626]","[39451, 41572, 46461, 49349, 52317]"
A035420,NAVER,606231,290000,465000,262500,414375.0,363750.0,313125.0,62.37,110.48,69.98,92.61,92.61,275250,105.36,271125,106.96,"[282000.0, 272000.0, 275000.0, 276000.0, 279000.0, 270000.0, 274500.0, 273500.0, 275500.0, 276500.0, 271500.0, 275000.0, 277500.0, 266000.0, 266000.0, 266000.0, 270000.0, 281000.0, 288000.0, 290000.0]",53.76,T,53.75,100.02,"[53.91, 53.78, 53.83, 53.85, 53.84, 53.85, 53.8, 53.81, 53.7, 53.73, 53.75, 53.76, 53.77, 53.61, 53.57, 53.61, 53.63, 53.66, 53.76, 53.8]",T,"[10, 15, 106, 5]","[112, 111, 109, 106, 5]",F,F,39.5,"[52, 47, 3, 32]","[3, 4, 3, 3, 41, 115]",3.0,"[4, 5, 2, 1]","[2, 2, 2, 2, 2]","[43562, 53041, 68176, 83016]","[14991, 16635, 17273, 19277, 18452, 20397]","[11550, 12153, 13255, 15142]","[2888, 3356, 3498, 3512, 3018, 3772]","[3968, 8450, 164776, 13847]","[153145, 5406, 3227, 2998, 1514, 3856]","[26, 22, 19, 18]","[19, 20, 20, 18, 16, 18]","[9, 15, 241, 16]","[1021, 32, 18, 15, 8, 18]","[376, 402, 511, 505]",[],"[0, 0, 0]",[],"[9, 5, 0]",[],"[89, 106, 40]","[35, 36, 36, 40, 42]","[146, 37, 128]","[119, 109, 97, 128, 118]","[44216, 51258, 149081]","[140890, 144908, 147527, 149081, 149527]","[3538, 6097, 100400, 8747]","[93207, 3212, 2021, 1948, 1043, 2499]","[39913, 49961, 157641, 166351]","[148906, 153268, 158995, 157641, 154175]"
A010060,OCI,306192,127000,169000,84100,147775.0,126550.0,105325.0,75.15,151.01,85.94,120.58,120.58,111675,113.72,105875,119.95,"[108000.0, 108500.0, 106000.0, 105500.0, 106000.0, 101500.0, 104000.0, 103000.0, 109500.0, 109000.0, 107000.0, 110500.0, 108000.0, 104000.0, 107500.0, 123500.0, 127500.0, 128500.0, 129000.0, 127000.0]",16.63,T,15.57,106.81,"[15.1, 15.04, 15.02, 15.18, 15.16, 15.15, 15.17, 15.41, 15.52, 15.46, 15.37, 15.36, 15.26, 15.19, 15.1, 16.51, 16.66, 16.7, 16.63, 16.36]",T,"[23, 20]","[-6, 1, 7, 23, 26]",F,F,3.5,"[3, 4]","[-19, 96, 19, 3, 3, 16]",0.0,"[0, 0]","[1, 1, 1, 0, 0]","[26051, 20025, 32440, 44840]","[5737, 7674, 8887, 10142, 10061, 11254]","[-1806, -861, 6260, 8630]","[470, 1663, 1946, 2180, 1620, 2253]","[-8074, -2512, 6521, 6810]","[398, 1453, 1776, 2894, 1342, 1395]","[19, 19]","[8, 21, 21, 21, 16, 20]","[20, 15]","[6, 18, 19, 28, 13, 12]","[2000, 2020]",[],[1],[],[7],[],[82],"[88, 91, 83, 82, 80]",[139],"[144, 144, 156, 139, 120]",[2268],"[1790, 1903, 2043, 2268, 2336]","[-33308, -10321, 27156, 28370]","[1593, 6049, 7455, 12058, 5640, 7702]","[110515, 98978, 128783, 153396]","[101649, 107705, 117183, 128783, 133351]"
A010950,S-Oil,311556,115000,117500,79200,107925.0,98350.0,88775.0,97.87,145.2,106.56,129.54,129.54,109075,105.43,106375,108.11,"[107500.0, 111000.0, 111500.0, 107000.0, 106000.0, 109000.0, 110500.0, 109500.0, 113000.0, 110000.0, 107000.0, 106000.0, 105000.0, 103000.0, 105500.0, 106500.0, 110000.0, 112500.0, 116000.0, 115000.0]",81.32,T,80.94,100.47,"[80.17, 80.34, 80.48, 80.68, 80.74, 80.87, 80.97, 80.97, 80.99, 80.97, 80.98, 81.12, 81.2, 81.18, 81.13, 81.12, 81.17, 81.2, 81.32, 81.27]",T,"[1, 21, 29]","[7, 15, 19, 21, 28]",F,F,7.0,"[169, 7, 5]","[22, 13, 10, 7, 5, 22]",1.0,"[1, 1, 1]","[1, 1, 1, 1, 1]","[243942, 168297, 274639, 398997]","[53448, 67110, 71170, 82911, 92870, 105059]","[4201, -10991, 21409, 33606]","[6292, 5710, 5494, 3913, 13320, 8021]","[654, -7961, 13785, 23298]","[3447, 4107, 3345, 2885, 8708, 5834]","[1, 7, 8]","[11, 8, 7, 4, 14, 7]","[0, 5, 5]","[6, 6, 4, 3, 9, 5]","[200, 3800, 5649]",[],"[0, 4]",[],"[35, 32]",[],"[151, 167]","[196, 179, 172, 167, 177]","[42, 56]","[49, 49, 43, 56, 53]","[2119, 2286]","[1959, 2100, 2174, 2286, 2484]","[561, -6827, 11822, 19980]","[2956, 3522, 2869, 2475, 7468, 5082]","[55803, 48810, 60024, 75283]","[51771, 55299, 57173, 60024, 64704]"
